DATE,DGS5,DGS10
1/31/1962,3.99,4.099938889
2/28/1962,3.77,3.999872222
3/30/1962,3.61,3.859861111
4/30/1962,3.64,3.859877778
5/31/1962,3.66,3.899866667
6/29/1962,3.76,3.999866667
7/31/1962,3.82,4.039877778
8/31/1962,3.66,3.959833333
9/28/1962,3.66,3.939844444
10/31/1962,3.64,3.919844444
11/30/1962,3.59,3.919816667
12/31/1962,3.56,3.849838889
1/31/1963,3.65,3.869877778
2/28/1963,3.68,3.939855556
3/29/1963,3.71,3.949866667
4/30/1963,3.73,3.949877778
5/31/1963,3.78,3.9599
6/28/1963,3.82,3.9999
7/31/1963,3.88,3.999933333
8/30/1963,3.93,4.01995
9/30/1963,3.94,4.069927778
10/31/1963,4.01,4.149922222
11/29/1963,3.99,4.07995
12/31/1963,4.06,4.139955556
1/31/1964,4.03,4.149933333
2/28/1964,4.1,4.179955556
3/31/1964,4.16,4.229961111
4/30/1964,4.13,4.21995
5/28/1964,4.03,4.189911111
6/30/1964,4.01,4.149922222
7/31/1964,4.04,4.189916667
8/31/1964,4.07,4.209922222
9/30/1964,4.05,4.179927778
10/30/1964,4.05,4.159938889
11/30/1964,4.13,4.199961111
12/31/1964,4.12,4.20995
1/29/1965,4.11,4.189955556
2/26/1965,4.16,4.219966667
3/31/1965,4.14,4.199966667
4/30/1965,4.16,4.209972222
5/28/1965,4.15,4.229955556
6/30/1965,4.14,4.199966667
7/30/1965,4.18,4.219977778
8/31/1965,4.22,4.269972222
9/30/1965,4.33,4.349988889
10/29/1965,4.4,4.409994444
11/30/1965,4.47,4.479994444
12/31/1965,4.88,4.650127778
1/31/1966,4.98,4.690161111
2/28/1966,5.03,5.020005556
3/31/1966,4.84,4.710072222
4/29/1966,4.85,4.790033333
5/31/1966,5,4.800111111
6/30/1966,5.09,4.970066667
7/29/1966,5.26,5.050116667
8/31/1966,5.68,5.360177778
9/30/1966,5.34,5.020177778
10/31/1966,5.22,4.970138889
11/30/1966,5.28,5.120088889
12/30/1966,4.8,4.640088889
1/31/1967,4.67,4.520083333
2/28/1967,4.78,4.720033333
3/31/1967,4.42,4.499955556
4/28/1967,4.72,4.779966667
5/31/1967,4.72,4.80995
6/30/1967,5.35,5.220072222
7/31/1967,5.12,5.159977778
8/31/1967,5.34,5.270038889
9/29/1967,5.38,5.310038889
10/31/1967,5.72,5.640044444
11/30/1967,5.77,5.740016667
12/29/1967,5.78,5.700044444
1/31/1968,5.55,5.540005556
2/29/1968,5.57,5.560005556
3/29/1968,5.76,5.76
4/30/1968,5.96,5.740122222
5/31/1968,5.97,5.860061111
6/28/1968,5.79,5.640083333
7/31/1968,5.5,5.390061111
8/30/1968,5.48,5.420033333
9/30/1968,5.48,5.489994444
10/31/1968,5.57,5.609977778
11/29/1968,5.72,5.779966667
12/31/1968,6.33,6.160094444
1/31/1969,6.3,6.190061111
2/28/1969,6.44,6.2601
3/28/1969,6.36,6.300033333
4/30/1969,6.37,6.200094444
5/29/1969,6.69,6.560072222
6/30/1969,6.98,6.730138889
7/31/1969,6.98,6.660177778
8/29/1969,7.13,6.830166667
9/30/1969,8.02,7.510283333
10/31/1969,7.33,6.940216667
11/28/1969,7.61,7.290177778
12/31/1969,8.22,7.880188889
1/30/1970,8.27,7.750288889
2/27/1970,7.31,6.900227778
3/31/1970,7.24,7.080088889
4/30/1970,7.95,7.820072222
5/29/1970,7.83,7.949933333
6/30/1970,7.77,7.68005
7/31/1970,7.58,7.380111111
8/31/1970,7.45,7.489977778
9/30/1970,7.18,7.289938889
10/30/1970,7.04,7.329838889
11/30/1970,5.99,6.489722222
12/31/1970,5.98,6.499711111
1/29/1971,5.78,6.089827778
2/26/1971,5.36,6.139566667
3/31/1971,5.06,5.529738889
4/30/1971,6.08,6.08
5/28/1971,6.24,6.379922222
6/30/1971,6.86,6.700088889
7/30/1971,6.96,6.850061111
8/31/1971,6.07,6.279883333
9/30/1971,6.06,6.000033333
10/29/1971,5.78,5.86995
11/30/1971,5.84,5.92995
12/31/1971,5.5,5.889783333
1/31/1972,5.75,6.089811111
2/29/1972,5.68,6.0398
3/30/1972,6.1,6.119988889
4/28/1972,5.89,6.139861111
5/31/1972,5.79,6.049855556
6/30/1972,6,6.149916667
7/31/1972,5.98,6.119922222
8/31/1972,6.21,6.419883333
9/29/1972,6.18,6.5398
10/31/1972,6.2,6.409883333
11/30/1972,6.12,6.279911111
12/29/1972,6.26,6.409916667
1/31/1973,6.45,6.53995
2/28/1973,6.73,6.64005
3/30/1973,6.81,6.730044444
4/30/1973,6.73,6.700016667
5/31/1973,6.78,6.929916667
6/29/1973,6.9,6.939977778
7/31/1973,7.87,7.430244444
8/31/1973,7.28,7.250016667
9/28/1973,6.72,6.8999
10/31/1973,6.8,6.71005
11/30/1973,6.77,6.690044444
12/31/1973,6.83,6.899961111
1/31/1974,6.91,6.99995
2/28/1974,6.98,7.009983333
3/29/1974,7.65,7.410133333
4/30/1974,8.21,7.660305556
5/31/1974,8.06,7.5203
6/28/1974,8.33,7.640383333
7/31/1974,8.46,7.890316667
8/30/1974,8.63,8.110288889
9/30/1974,8.05,7.940061111
10/31/1974,7.94,7.790083333
11/29/1974,7.56,7.639955556
12/31/1974,7.36,7.399977778
1/31/1975,7.34,7.529894444
2/28/1975,7.13,7.459816667
3/31/1975,7.5,8.009716667
4/30/1975,8.12,8.309894444
5/30/1975,7.61,8.039761111
6/30/1975,7.82,7.959922222
7/31/1975,8.07,8.199927778
8/29/1975,8.16,8.219966667
9/30/1975,8.42,8.479966667
10/31/1975,7.66,7.909861111
11/28/1975,7.9,8.139866667
12/31/1975,7.5,7.759855556
1/30/1976,7.43,7.799794444
2/27/1976,7.46,7.769827778
3/31/1976,7.39,7.65985
4/30/1976,7.34,7.669816667
5/28/1976,7.78,7.9599
6/30/1976,7.58,7.859844444
7/30/1976,7.47,7.859783333
8/31/1976,7.16,7.659722222
9/30/1976,7.05,7.549722222
10/29/1976,6.78,7.419644444
11/30/1976,6.05,7.009466667
12/31/1976,6.13,6.809622222
1/31/1977,6.83,7.399683333
2/28/1977,6.98,7.449738889
3/31/1977,6.94,7.419733333
4/29/1977,6.9,7.449694444
5/31/1977,6.87,7.379716667
6/30/1977,6.7,7.199722222
7/29/1977,7.03,7.419783333
8/31/1977,6.94,7.279811111
