,CPI,3M BILL,5YR INTERPOLATION,5.25 YR,10YR BOND,24M CPI (Ann.),5YR Real Yield,5.25YR Real Yield,10YR Real Yield,
1/1/1960,18.12597633,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2/1/1960,18.14432246,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
3/1/1960,18.08928407,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
4/1/1960,18.19936085,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
5/1/1960,18.36447602,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
6/1/1960,18.2910915,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
7/1/1960,18.27274537,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
8/1/1960,18.41951441,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
9/1/1960,18.56628345,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
10/1/1960,18.6580141,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11/1/1960,18.40116828,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
12/1/1960,18.54793732,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1/1/1961,18.80478313,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2/1/1961,18.89651378,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
3/1/1961,18.85982152,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
4/1/1961,19.04328282,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
5/1/1961,18.95155217,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
6/1/1961,18.95155217,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
7/1/1961,19.26343638,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
8/1/1961,19.41020542,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
9/1/1961,19.5202822,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
10/1/1961,19.94224319,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11/1/1961,20.03397384,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
12/1/1961,20.21743514,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1/1/1962,20.34585805,6.082,NaN,NaN,NaN,5.95%,NaN,NaN,NaN,
2/1/1962,20.27247353,6.082,NaN,NaN,NaN,5.70%,NaN,NaN,NaN,
3/1/1962,20.30916579,6.082,NaN,NaN,NaN,5.96%,NaN,NaN,NaN,
4/1/1962,20.52931934,6.082,NaN,NaN,NaN,6.21%,NaN,NaN,NaN,
5/1/1962,20.63939612,6.082,NaN,NaN,NaN,6.01%,NaN,NaN,NaN,
6/1/1962,20.5660116,6.082,NaN,NaN,NaN,6.04%,NaN,NaN,NaN,
7/1/1962,20.76781903,6.082,NaN,NaN,NaN,6.61%,NaN,NaN,NaN,
8/1/1962,20.76781903,6.082,NaN,NaN,NaN,6.18%,NaN,NaN,NaN,
9/1/1962,20.69443451,6.082,NaN,NaN,NaN,5.58%,NaN,NaN,NaN,
10/1/1962,20.85954968,6.082,NaN,NaN,NaN,5.74%,NaN,NaN,NaN,
11/1/1962,20.78616516,6.082,NaN,NaN,NaN,6.28%,NaN,NaN,NaN,
12/1/1962,21.20812615,6.082,NaN,NaN,NaN,6.93%,NaN,NaN,NaN,
1/1/1963,21.55670262,6.082,NaN,NaN,NaN,7.07%,NaN,NaN,NaN,
2/1/1963,21.65424426,6.082,NaN,NaN,NaN,7.05%,NaN,NaN,NaN,
3/1/1963,21.7517859,6.082,NaN,NaN,NaN,7.39%,NaN,NaN,NaN,
4/1/1963,21.84932754,6.082,NaN,NaN,NaN,7.11%,NaN,NaN,NaN,
5/1/1963,22.02002541,6.082,NaN,NaN,NaN,7.79%,NaN,NaN,NaN,
6/1/1963,22.19072328,5.71,NaN,NaN,NaN,8.21%,NaN,NaN,NaN,
7/1/1963,22.04441082,5.71,NaN,NaN,NaN,6.98%,NaN,NaN,NaN,
8/1/1963,21.97125459,5.71,NaN,NaN,NaN,6.39%,NaN,NaN,NaN,
9/1/1963,22.41019197,5.71,NaN,NaN,NaN,7.15%,NaN,NaN,NaN,
10/1/1963,22.33703574,5.71,NaN,NaN,NaN,5.83%,NaN,NaN,NaN,
11/1/1963,22.2394941,5.71,NaN,NaN,NaN,5.36%,NaN,NaN,NaN,
12/1/1963,22.33703574,5.71,NaN,NaN,NaN,5.11%,NaN,NaN,NaN,
1/1/1964,22.36142115,5.71,NaN,NaN,NaN,4.84%,NaN,NaN,NaN,
2/1/1964,22.33703574,5.71,NaN,NaN,NaN,4.97%,NaN,NaN,NaN,
3/1/1964,22.43457738,5.71,NaN,NaN,NaN,5.10%,NaN,NaN,NaN,
4/1/1964,22.7028169,5.71,NaN,NaN,NaN,5.16%,NaN,NaN,NaN,
5/1/1964,22.80035854,5.71,NaN,NaN,NaN,5.10%,NaN,NaN,NaN,
6/1/1964,22.75158772,5.71,NaN,NaN,NaN,5.18%,NaN,NaN,NaN,
