DATE,CPI,3M Nom Yld.,5 Yr Nom Yld. (Interpolated),10 Yr Nom Yld.,24M CPI (Ann.),5 Yr Real Yld.,10 Yr Real Yld.
1/31/1960,5.611996913,4.54,4.925,5.33,,,
2/29/1960,5.611996913,4.55,4.964,5.4,,,
3/31/1960,5.601783998,4.62,5.093,5.59,,,
4/30/1960,5.632422744,4.65,5.147,5.67,,,
5/31/1960,5.632422744,4.56,5.111,5.69,,,
6/30/1960,5.66306149,5.68,5.855,6.04,,,
7/31/1960,5.673274405,5.55,5.774,6.01,,,
8/31/1960,5.637529201,5.59,5.804,6.03,,,
9/30/1960,5.642635659,5.57,5.828,6.1,,,
10/31/1960,5.688593778,5.09,5.582,6.1,,,
11/30/1960,5.714126066,4.64,5.371,6.14,,,
12/31/1960,5.729445438,4.35,5.237,6.17,,,
1/31/1961,5.734551896,4.17,5.135,6.15,,,
2/28/1961,5.734551896,4.4,5.179,6,,,
3/31/1961,5.754977726,4.49,5.255,6.06,,,
4/30/1961,5.785616472,4.41,5.199,6.03,,,
5/31/1961,5.800935845,4.44,5.244,6.09,,,
6/30/1961,5.852000421,4.54,5.417,6.34,,,
7/31/1961,5.852000421,6.69,6.627,6.56,,,
8/31/1961,5.908171455,6.7,6.695,6.69,,,
9/30/1961,5.89795854,6.55,6.613,6.68,,,
10/31/1961,5.908171455,5.73,5.915,6.11,,,
11/30/1961,5.969448946,5.39,5.789,6.21,,,
12/31/1961,5.979661861,5.4,5.814,6.25,,,
1/31/1962,6.000087692,5.24,5.708,6.2,3.40%,2.308,2.800
2/28/1962,6.006087779,5.53,5.891,6.27,3.45%,2.439,2.818
3/30/1962,6.03008813,4.41,5.316,6.27,3.75%,1.564,2.517
4/30/1962,6.114089358,4.05,5.136,6.28,4.19%,0.948,2.092
5/31/1962,6.132089621,3.82,5.018,6.28,4.34%,0.677,1.939
6/29/1962,6.174090235,3.92,5.026,6.19,4.41%,0.611,1.775
7/31/1962,6.150089884,3.89,4.825,5.81,4.12%,0.708,1.692
8/31/1962,6.096089095,3.75,4.661,5.62,3.99%,0.673,1.632
9/28/1962,6.090089007,3.64,4.249,4.89,3.89%,0.360,1.001
10/31/1962,6.084088919,3.86,4.440,5.05,3.42%,1.022,1.632
11/30/1962,6.10808927,3.69,4.411,5.17,3.39%,1.021,1.780
12/31/1962,6.138089709,3.72,4.412,5.14,3.50%,0.907,1.635
1/31/1963,6.162090059,3.49,4.338,5.23,3.66%,0.677,1.569
2/28/1963,6.216090849,3.43,4.404,5.43,4.11%,0.290,1.316
3/29/1963,6.222090936,3.76,4.583,5.45,3.98%,0.604,1.471
4/30/1963,6.240091199,3.71,4.480,5.29,3.85%,0.626,1.437
5/31/1963,6.234091112,3.64,4.385,5.17,3.67%,0.719,1.504
6/28/1963,6.234091112,3.7,4.372,5.08,3.21%,1.159,1.867
7/31/1963,6.198090586,3.76,4.393,5.06,2.91%,1.479,2.145
8/30/1963,6.180090323,3.72,4.324,4.96,2.28%,2.049,2.685
9/30/1963,6.198090586,3.67,4.269,4.9,2.51%,1.756,2.387
10/31/1963,6.222090936,3.74,4.339,4.97,2.62%,1.717,2.348
11/29/1963,6.240091199,3.74,4.456,5.21,2.24%,2.214,2.968
12/31/1963,6.252091375,3.72,4.461,5.24,2.25%,2.208,2.987
1/31/1964,6.282091813,3.76,4.496,5.27,2.32%,2.173,2.947
2/28/1964,6.288091901,4.31,4.865,5.45,2.32%,2.545,3.129
3/31/1964,6.312092252,4.3,4.865,5.46,2.31%,2.554,3.148
4/30/1964,6.366093041,4.3,4.880,5.49,2.04%,2.840,3.450
5/28/1964,6.42009383,4.38,4.950,5.55,2.32%,2.629,3.229
6/30/1964,6.444094181,4.46,5.035,5.64,2.16%,2.872,3.477
7/31/1964,6.444094181,4.65,5.191,5.76,2.36%,2.828,3.398
8/31/1964,6.468094532,4.66,5.191,5.75,3.01%,2.185,2.744
9/30/1964,6.468094532,4.65,5.196,5.77,3.06%,2.139,2.713
10/30/1964,6.474094619,4.7,5.255,5.84,3.16%,2.100,2.685
11/30/1964,6.528095409,6.63,6.357,6.07,3.38%,2.976,2.689
12/31/1964,6.552095759,6.63,6.508,6.38,3.32%,3.191,3.063
1/29/1965,6.570096022,6.54,6.447,6.35,3.26%,3.190,3.092
2/26/1965,6.570096022,6.44,6.401,6.36,2.81%,3.593,3.552
3/31/1965,6.594096373,6.55,6.535,6.52,2.95%,3.589,3.574
4/30/1965,6.720098215,6.38,6.487,6.6,3.77%,2.712,2.825
5/28/1965,6.744098566,6.36,6.521,6.69,4.01%,2.511,2.680
6/30/1965,6.762098829,5.54,6.120,6.73,4.15%,1.971,2.581
7/30/1965,6.762098829,5.63,6.195,6.79,4.45%,1.744,2.339
8/31/1965,6.774099004,5.56,6.106,6.68,4.70%,1.410,1.984
9/30/1965,6.780099092,5.49,5.967,6.47,4.59%,1.378,1.880
10/29/1965,6.786099179,5.44,5.922,6.43,4.43%,1.488,1.996
11/30/1965,6.816099618,5.4,5.892,6.41,4.51%,1.379,1.896
12/31/1965,6.846100056,5.52,6.041,6.59,4.64%,1.399,1.947
1/31/1966,6.858100232,5.48,5.938,6.42,4.48%,1.454,1.936
