,3 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/31/1921,4.83,4.8367,4.8667,4.8967,4.9567,5.01,5.09,,
2/28/1921,4.83,4.8349,4.8568,4.8787,4.9226,4.9615,5.02,,
3/31/1921,4.83,4.8333,4.8483,4.8633,4.8933,4.92,4.96,,
4/30/1921,4.83,4.8315,4.8385,4.8454,4.8592,4.8715,4.89,,
5/31/1921,4.83,4.83,4.83,4.83,4.83,4.83,4.83,,
6/30/1921,4.83,4.8282,4.8201,4.8121,4.7959,4.7815,4.76,,
7/31/1921,4.83,4.8267,4.8117,4.7967,4.7667,4.74,4.7,,
8/31/1921,4.83,4.8249,4.8018,4.7787,4.7326,4.6915,4.63,,
9/30/1921,4.83,4.8231,4.7919,4.7608,4.6985,4.6431,4.56,,
10/31/1921,4.83,4.8215,4.7835,4.7454,4.6692,4.6015,4.5,,
11/30/1921,4.83,4.8197,4.7736,4.7274,4.6351,4.5531,4.43,,
12/31/1921,4.83,4.8182,4.7651,4.7121,4.6059,4.5115,4.37,,
1/31/1922,3.47,3.4913,3.5871,3.6828,3.8744,4.0446,4.3,,
2/28/1922,3.47,3.4915,3.5885,3.6854,3.8792,4.0515,4.31,,
3/31/1922,3.47,3.4915,3.5885,3.6854,3.8792,4.0515,4.31,,
4/30/1922,3.47,3.4918,3.5899,3.6879,3.8841,4.0585,4.32,,
5/31/1922,3.47,3.4918,3.5899,3.6879,3.8841,4.0585,4.32,,
6/30/1922,3.47,3.4921,3.5913,3.6905,3.889,4.0654,4.33,,
7/31/1922,3.47,3.4921,3.5913,3.6905,3.889,4.0654,4.33,,
8/31/1922,3.47,3.4923,3.5927,3.6931,3.8938,4.0723,4.34,,
9/30/1922,3.47,3.4923,3.5927,3.6931,3.8938,4.0723,4.34,,
10/31/1922,3.47,3.4926,3.5941,3.6956,3.8987,4.0792,4.35,,
11/30/1922,3.47,3.4926,3.5941,3.6956,3.8987,4.0792,4.35,,
12/31/1922,3.47,3.4928,3.5955,3.6982,3.9036,4.0862,4.36,,
1/31/1923,3.93,3.941,3.9906,4.0403,4.1395,4.2277,4.36,,
2/28/1923,3.93,3.9405,3.9878,4.0351,4.1297,4.2138,4.34,,
3/31/1923,3.93,3.9397,3.9836,4.0274,4.1151,4.1931,4.31,,
4/30/1923,3.93,3.9392,3.9808,4.0223,4.1054,4.1792,4.29,,
5/31/1923,3.93,3.9385,3.9765,4.0146,4.0908,4.1585,4.26,,
6/30/1923,3.93,3.9379,3.9737,4.0095,4.081,4.1446,4.24,,
7/31/1923,3.93,3.9372,3.9695,4.0018,4.0664,4.1238,4.21,,
8/31/1923,3.93,3.9367,3.9667,3.9967,4.0567,4.11,4.19,,
9/30/1923,3.93,3.9359,3.9624,3.989,4.0421,4.0892,4.16,,
10/31/1923,3.93,3.9354,3.9596,3.9838,4.0323,4.0754,4.14,,
11/30/1923,3.93,3.9346,3.9554,3.9762,4.0177,4.0546,4.11,,
12/31/1923,3.93,3.9341,3.9526,3.971,4.0079,4.0408,4.09,,
1/31/1924,2.77,2.8031,2.9519,3.1008,3.3985,3.6631,4.06,,
2/29/1924,2.77,2.8026,2.9491,3.0956,3.3887,3.6492,4.04,,
