DATE,3 YR,5 YR
12/29/2006,4.74,4.7
1/31/2007,4.85,4.82
2/28/2007,4.55,4.52
3/30/2007,4.54,4.54
4/30/2007,4.54,4.51
5/31/2007,4.88,4.86
6/29/2007,4.89,4.92
7/31/2007,4.55,4.6
8/31/2007,4.16,4.25
9/28/2007,4.03,4.23
10/31/2007,3.94,4.16
11/30/2007,3.09,3.41
12/31/2007,3.07,3.45
1/31/2008,2.27,2.82
2/29/2008,1.87,2.5
3/31/2008,1.79,2.46
4/30/2008,2.49,3.03
5/30/2008,2.93,3.41
6/30/2008,2.91,3.34
7/31/2008,2.81,3.25
8/29/2008,2.6,3.1
9/30/2008,2.28,2.98
10/31/2008,1.8,2.8
11/28/2008,1.27,1.93
12/31/2008,1,1.55
1/30/2009,1.32,1.85
2/27/2009,1.4,1.99
3/31/2009,1.15,1.67
4/30/2009,1.38,2.02
5/29/2009,1.42,2.34
6/30/2009,1.64,2.54
7/31/2009,1.62,2.53
8/31/2009,1.49,2.39
9/30/2009,1.45,2.31
10/30/2009,1.43,2.31
11/30/2009,1.12,2.01
12/31/2009,1.7,2.69
1/29/2010,1.38,2.34
2/26/2010,1.36,2.3
3/31/2010,1.6,2.55
4/30/2010,1.51,2.43
5/28/2010,1.26,2.1
6/30/2010,1,1.79
7/30/2010,0.84,1.6
8/31/2010,0.72,1.33
9/30/2010,0.64,1.27
10/29/2010,0.51,1.17
11/30/2010,0.72,1.47
12/31/2010,1.02,2.01
1/31/2011,0.98,1.95
2/28/2011,1.18,2.13
3/31/2011,1.29,2.24
4/29/2011,1.01,1.97
5/31/2011,0.79,1.68
6/30/2011,0.81,1.76
7/29/2011,0.55,1.35
8/31/2011,0.33,0.96
9/30/2011,0.42,0.96
10/31/2011,0.41,0.99
11/30/2011,0.41,0.96
12/30/2011,0.36,0.83
1/31/2012,0.3,0.71
2/29/2012,0.43,0.87
3/30/2012,0.51,1.04
4/30/2012,0.38,0.82
5/31/2012,0.35,0.67
6/29/2012,0.41,0.72
7/31/2012,0.3,0.6
8/31/2012,0.3,0.59
9/28/2012,0.31,0.62
10/31/2012,0.38,0.72
11/30/2012,0.34,0.61
12/31/2012,0.36,0.72
1/31/2013,0.42,0.88
2/28/2013,0.36,0.77
3/28/2013,0.36,0.77
4/30/2013,0.32,0.68
5/31/2013,0.52,1.05
6/28/2013,0.66,1.41
7/31/2013,0.61,1.38
8/30/2013,0.79,1.62
9/30/2013,0.63,1.39
10/31/2013,0.57,1.31
11/29/2013,0.56,1.37
12/31/2013,0.78,1.75
1/31/2014,0.69,1.49
2/28/2014,0.69,1.51
3/31/2014,0.9,1.73
4/30/2014,0.87,1.69
5/30/2014,0.79,1.54
6/30/2014,0.88,1.62
7/31/2014,1.02,1.76
8/29/2014,0.94,1.63
9/30/2014,1.07,1.78
10/31/2014,0.95,1.62
11/28/2014,0.88,1.49
12/31/2014,1.1,1.65
1/30/2015,0.77,1.18
2/27/2015,1.01,1.5
3/31/2015,0.89,1.37
4/30/2015,0.91,1.43
5/29/2015,0.94,1.49
6/30/2015,1.01,1.63
7/31/2015,1,1.54
8/31/2015,1.07,1.54
9/30/2015,0.92,1.37
10/30/2015,1.05,1.52
11/30/2015,1.24,1.65
12/31/2015,1.31,1.76
1/29/2016,0.97,1.33
2/29/2016,0.91,1.22
3/31/2016,0.87,1.21
4/29/2016,0.92,1.28
5/31/2016,1.03,1.37
6/30/2016,0.71,1.01
7/29/2016,0.76,1.03
8/31/2016,0.92,1.19
9/30/2016,0.88,1.14
10/31/2016,1,1.31
11/30/2016,1.4,1.83
12/30/2016,1.47,1.93
1/31/2017,1.46,1.9
2/28/2017,1.49,1.89
3/31/2017,1.5,1.93
4/28/2017,1.45,1.81
5/31/2017,1.44,1.75
6/30/2017,1.55,1.89
7/31/2017,1.51,1.84
8/31/2017,1.44,1.7
9/29/2017,1.62,1.92
10/31/2017,1.73,2.01
11/30/2017,1.9,2.14
12/29/2017,1.98,2.2
1/31/2018,2.29,2.52
2/28/2018,2.42,2.65
3/29/2018,2.39,2.56
4/30/2018,2.62,2.79
5/31/2018,2.54,2.68
6/29/2018,2.63,2.73
7/31/2018,2.77,2.85
8/31/2018,2.7,2.74
9/28/2018,2.88,2.94
10/31/2018,2.93,2.98
11/30/2018,2.83,2.84
12/31/2018,2.46,2.51
1/31/2019,2.43,2.43
2/28/2019,2.5,2.52
3/29/2019,2.21,2.23
4/30/2019,2.24,2.28
5/31/2019,1.9,1.93
6/28/2019,1.71,1.76
7/31/2019,1.84,1.84
8/30/2019,1.42,1.39
9/30/2019,1.56,1.55
10/31/2019,1.52,1.51
11/29/2019,1.61,1.62
12/31/2019,1.62,1.69
1/31/2020,1.3,1.32
2/28/2020,0.85,0.89
3/31/2020,0.29,0.37
4/30/2020,0.24,0.36
5/29/2020,0.19,0.3
6/30/2020,0.18,0.29
7/31/2020,0.11,0.21
8/31/2020,0.15,0.28
9/30/2020,0.16,0.28
10/30/2020,0.19,0.38
11/30/2020,0.19,0.36
12/31/2020,0.17,0.36
1/29/2021,0.19,0.45
2/26/2021,0.3,0.75
3/31/2021,0.35,0.92
4/30/2021,0.35,0.86
5/28/2021,0.3,0.79
6/30/2021,0.46,0.87
7/30/2021,0.35,0.69
8/31/2021,0.4,0.77
9/30/2021,0.53,0.98
10/29/2021,0.75,1.18
11/30/2021,0.81,1.14
12/31/2021,0.97,1.26
1/31/2022,1.39,1.62
2/28/2022,1.62,1.71
3/31/2022,2.45,2.42
4/29/2022,2.87,2.92
5/31/2022,2.71,2.81
6/30/2022,2.99,3.01
7/29/2022,2.83,2.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
