DATE,1 YR,2 YR
12/31/2002,1.3200,1.61
1/31/2003,1.3100,1.72
2/28/2003,1.2400,1.53
3/31/2003,1.1900,1.51
4/30/2003,1.2200,1.51
5/30/2003,1.1300,1.33
6/30/2003,1.0900,1.32
7/31/2003,1.2800,1.8
8/29/2003,1.3500,1.95
9/30/2003,1.1500,1.5
10/31/2003,1.3100,1.85
11/28/2003,1.3900,2.06
12/31/2003,1.2600,1.84
1/30/2004,1.2800,1.84
2/27/2004,1.2100,1.66
3/31/2004,1.2000,1.6
4/30/2004,1.5500,2.31
5/28/2004,1.8300,2.54
6/30/2004,2.0900,2.7
7/30/2004,2.1300,2.68
8/31/2004,1.9900,2.41
9/30/2004,2.2100,2.63
10/29/2004,2.2800,2.56
11/30/2004,2.6300,3.02
12/31/2004,2.7500,3.08
1/31/2005,2.9600,3.29
2/28/2005,3.2000,3.59
3/31/2005,3.3500,3.8
4/29/2005,3.3300,3.66
5/31/2005,3.3200,3.6
6/30/2005,3.4500,3.66
7/29/2005,3.8000,4.02
8/31/2005,3.7700,3.84
9/30/2005,4.0100,4.18
10/31/2005,4.3100,4.4
11/30/2005,4.3400,4.42
12/30/2005,4.3800,4.41
1/31/2006,4.5800,4.54
2/28/2006,4.7300,4.69
3/31/2006,4.8200,4.82
4/28/2006,4.9000,4.87
5/31/2006,5.0700,5.04
6/30/2006,5.2100,5.16
7/31/2006,5.1100,4.97
8/31/2006,5.0100,4.79
9/29/2006,4.9100,4.71
10/31/2006,4.9900,4.71
11/30/2006,4.9400,4.62
12/29/2006,5.0000,4.82
1/31/2007,5.0900,4.94
2/28/2007,4.9600,4.65
3/30/2007,4.9000,4.58
4/30/2007,4.8900,4.6
5/31/2007,4.9500,4.92
6/29/2007,4.9100,4.87
7/31/2007,4.8500,4.56
8/31/2007,4.1900,4.15
9/28/2007,4.0500,3.97
10/31/2007,4.0400,3.94
11/30/2007,3.2600,3.04
12/31/2007,3.3400,3.05
1/31/2008,2.1100,2.17
2/29/2008,1.7700,1.65
3/31/2008,1.5500,1.62
4/30/2008,1.8500,2.29
5/30/2008,2.2200,2.66
6/30/2008,2.3600,2.63
7/31/2008,2.2700,2.52
8/29/2008,2.1700,2.36
9/30/2008,1.7800,2
10/31/2008,1.3400,1.56
11/28/2008,0.9000,1
12/31/2008,0.3700,0.76
1/30/2009,0.5100,0.94
2/27/2009,0.7200,1
3/31/2009,0.5700,0.81
4/30/2009,0.4900,0.91
5/29/2009,0.4700,0.92
6/30/2009,0.5600,1.11
7/31/2009,0.4800,1.13
8/31/2009,0.4300,0.97
9/30/2009,0.4000,0.95
10/30/2009,0.3700,0.9
11/30/2009,0.2700,0.67
12/31/2009,0.4700,1.14
1/29/2010,0.3000,0.82
2/26/2010,0.3200,0.81
3/31/2010,0.4100,1.02
4/30/2010,0.4100,0.97
5/28/2010,0.3400,0.76
6/30/2010,0.3200,0.61
7/30/2010,0.2900,0.55
8/31/2010,0.2500,0.47
9/30/2010,0.2700,0.42
10/29/2010,0.2200,0.34
11/30/2010,0.2700,0.45
12/31/2010,0.2900,0.61
1/31/2011,0.2600,0.58
2/28/2011,0.2500,0.69
3/31/2011,0.3000,0.8
4/29/2011,0.2200,0.61
5/31/2011,0.1800,0.45
6/30/2011,0.1900,0.45
7/29/2011,0.2000,0.36
8/31/2011,0.1000,0.2
9/30/2011,0.1300,0.25
10/31/2011,0.1200,0.25
11/30/2011,0.1200,0.25
12/30/2011,0.1200,0.25
1/31/2012,0.1300,0.22
2/29/2012,0.1800,0.3
3/30/2012,0.1900,0.33
4/30/2012,0.2000,0.27
5/31/2012,0.1800,0.27
6/29/2012,0.2100,0.33
7/31/2012,0.1600,0.23
8/31/2012,0.1600,0.22
9/28/2012,0.1700,0.23
10/31/2012,0.1800,0.3
11/30/2012,0.1800,0.25
12/31/2012,0.1600,0.25
1/31/2013,0.1500,0.27
2/28/2013,0.1700,0.25
3/28/2013,0.1400,0.25
4/30/2013,0.1100,0.22
5/31/2013,0.1400,0.3
