,5YR Real Yield,10YR Real Yield
3/1/1972,1.1997,1.7797
4/1/1972,1.0219,1.5225
5/1/1972,0.6973,1.1978
6/1/1972,0.3593,1.1978
7/1/1972,0.2049,0.8808
8/1/1972,-0.4273,0.2487
9/1/1972,0.1262,0.8022
10/1/1972,0.6651,1.341
11/1/1972,0.8148,1.4908
12/1/1972,0.6979,1.3739
1/1/1973,0.7464,1.4224
2/1/1973,0.3049,0.9809
3/1/1973,-0.3354,-0.1668
4/1/1973,-0.6825,-0.5139
5/1/1973,-1.2485,-0.9522
6/1/1973,-0.8847,-0.929
7/1/1973,-1.2237,-1.3508
8/1/1973,-1.5649,-1.6089
9/1/1973,-1.775,-1.8189
10/1/1973,-1.6312,-1.7553
11/1/1973,-2.5264,-2.6505
12/1/1973,-4.2772,-4.4012
1/1/1974,-5.6258,-6.063
2/1/1974,-7.0985,-7.5357
3/1/1974,-6.9704,-7.4076
4/1/1974,-7.6823,-8.1195
5/1/1974,-7.7635,-8.2007
6/1/1974,-8.137,-8.5742
7/1/1974,-9.2504,-9.6876
8/1/1974,-9.3533,-9.7905
9/1/1974,-9.8644,-10.3016
10/1/1974,-10.6528,-10.8879
11/1/1974,-11.2986,-11.5338
12/1/1974,-10.9075,-11.1426
1/1/1975,-11.1079,-11.343
2/1/1975,-10.7242,-10.9594
3/1/1975,-9.7183,-9.9534
4/1/1975,-9.6275,-9.8626
5/1/1975,-9.3698,-9.2642
6/1/1975,-9.216,-9.1105
7/1/1975,-8.9795,-8.874
8/1/1975,-8.522,-8.2946
9/1/1975,-8.2044,-7.977
10/1/1975,-9.024,-8.542
11/1/1975,-8.4234,-7.9891
12/1/1975,-6.6019,-6.1676
1/1/1976,-5.2349,-4.8006
2/1/1976,-3.8615,-3.4272
3/1/1976,-3.6894,-3.2551
4/1/1976,-3.6245,-3.1902
5/1/1976,-3.578,-3.1437
6/1/1976,-3.3172,-2.8829
7/1/1976,-2.6458,-2.2115
8/1/1976,-1.6951,-1.2608
9/1/1976,-2.3093,-1.875
10/1/1976,-1.3685,-0.9342
11/1/1976,-0.9353,-0.501
12/1/1976,-1.4628,-1.0285
1/1/1977,-1.2694,-0.8351
2/1/1977,-1.5202,-1.0859
3/1/1977,-1.4473,-0.9284
4/1/1977,-1.8083,-0.8653
5/1/1977,-2.3791,-1.8157
6/1/1977,-2.2061,-1.6426
7/1/1977,-1.9252,-1.4648
8/1/1977,-2.3645,-2.0589
9/1/1977,-2.5094,-1.6965
10/1/1977,-2.1984,-1.5399
11/1/1977,-1.8043,-1.1458
12/1/1977,-1.7195,-1.061
1/1/1978,-0.916,-0.2575
2/1/1978,-0.8681,-0.2096
3/1/1978,-1.6001,-0.4349
4/1/1978,-1.2017,-0.2944
5/1/1978,-1.3423,-0.4351
6/1/1978,-1.0068,-0.0995
7/1/1978,-0.8034,0.1039
8/1/1978,-1.3313,-0.424
9/1/1978,-0.535,0.3722
10/1/1978,-0.3482,0.5591
11/1/1978,0.1287,1.0359
12/1/1978,0.819,1.7262
1/1/1979,1.1698,2.077
2/1/1979,1.6673,2.5745
3/1/1979,1.6456,2.759
4/1/1979,2.7093,3.677
5/1/1979,2.7429,3.7107
6/1/1979,2.2167,2.8839
7/1/1979,1.5931,2.2603
8/1/1979,3.4175,3.966
9/1/1979,3.2681,3.5181
10/1/1979,2.991,3.2411
11/1/1979,2.6463,2.8963
12/1/1979,2.5704,2.5268
1/1/1980,2.8801,3.4621
2/1/1980,3.1561,4.1525
3/1/1980,3.5855,4.9152
4/1/1980,3.9505,4.4975
5/1/1980,3.0888,2.8464
6/1/1980,2.5573,2.2381
7/1/1980,2.7542,2.5478
8/1/1980,3.1473,3.0337
9/1/1980,2.6378,2.8257
10/1/1980,2.4246,2.4535
11/1/1980,1.7764,2.4017
12/1/1980,1.8034,2.3924
1/1/1981,1.0095,1.2759
2/1/1981,0.8781,1.1024
3/1/1981,1.076,1.1469
4/1/1981,1.1468,1.4129
5/1/1981,1.2219,1.5813
6/1/1981,1.1912,1.5086
7/1/1981,2.0453,2.6248
8/1/1981,1.8739,2.6277
9/1/1981,1.7483,2.4308
10/1/1981,2.3136,3.1602
11/1/1981,1.7232,2.118
12/1/1981,1.8524,2.4012
1/1/1982,2.285,2.8133
2/1/1982,2.7987,3.3269
3/1/1982,2.8553,3.2041
4/1/1982,3.3826,3.716
5/1/1982,3.8068,4.3454
6/1/1982,4.2234,4.9773
7/1/1982,4.5398,5.2065
8/1/1982,4.0482,4.7611
9/1/1982,4.1307,4.8692
10/1/1982,4.2669,5.1387
11/1/1982,4.6032,5.2802
12/1/1982,4.2622,4.6572
1/1/1983,4.9163,5.4907
2/1/1983,4.9299,5.3864
3/1/1983,4.8126,5.2742
4/1/1983,4.9174,5.3329
5/1/1983,4.9011,5.3422
6/1/1983,5.2704,5.6961
7/1/1983,5.3382,5.7742
8/1/1983,5.2514,5.6719
9/1/1983,5.3305,5.669
10/1/1983,4.7427,5.4154
11/1/1983,4.87,5.4812
12/1/1983,5.0319,5.5456
1/1/1984,4.8625,5.3968
2/1/1984,4.4827,5.017
3/1/1984,4.3883,4.82
4/1/1984,4.6508,5.0773
5/1/1984,4.6578,5.2792
6/1/1984,4.9769,5.542
7/1/1984,4.5174,5.0722
8/1/1984,5.241,5.6881
9/1/1984,5.1786,5.6
10/1/1984,4.8673,5.1503
11/1/1984,4.545,4.6998
12/1/1984,4.3626,4.5225
1/1/1985,4.2502,4.3537
2/1/1985,4.0786,4.7053
3/1/1985,3.8131,4.7779
4/1/1985,3.2474,4.4265
5/1/1985,3.6791,4.8427
6/1/1985,1.023,4.3666
7/1/1985,2.9184,3.9435
8/1/1985,2.8343,3.7774
9/1/1985,3.1023,3.789
10/1/1985,3.5363,4.7255
11/1/1985,3.1423,4.4272
12/1/1985,2.8343,4.0577
1/1/1986,3.9831,3.6353
2/1/1986,4.0033,3.9788
3/1/1986,3.3493,3.2013
4/1/1986,2.9411,3.115
5/1/1986,3.4012,3.7956
6/1/1986,0.9524,3.5495
7/1/1986,3.4746,3.8267
8/1/1986,3.226,3.6467
9/1/1986,4.0129,4.6703
10/1/1986,4.2494,4.8987
11/1/1986,3.783,4.6361
12/1/1986,3.9679,4.7618
1/1/1987,4.145,4.8088
2/1/1987,3.8162,4.3248
3/1/1987,3.3778,4.1129
4/1/1987,2.8332,3.117
5/1/1987,2.4723,2.3756
6/1/1987,2.7176,2.8167
7/1/1987,3.6193,4.2919
8/1/1987,3.7208,4.6257
9/1/1987,3.5719,4.7564
10/1/1987,4.1949,5.5344
11/1/1987,3.5776,4.456
12/1/1987,3.7892,4.7653
1/1/1988,3.831,4.4766
2/1/1988,3.7968,4.4063
3/1/1988,3.6309,4.3154
4/1/1988,3.5245,4.1587
5/1/1988,3.7389,4.5362
6/1/1988,3.6444,4.4674
7/1/1988,3.7224,4.6905
8/1/1988,3.5686,4.6251
9/1/1988,3.3956,4.4532
10/1/1988,3.0271,3.8813
11/1/1988,2.8892,3.6647
12/1/1988,2.8931,3.613
1/1/1989,2.9179,3.792
2/1/1989,3.1461,4.0733
3/1/1989,3.211,4.2655
4/1/1989,2.8461,3.9379
5/1/1989,2.6947,3.8704
6/1/1989,3.1602,3.853
7/1/1989,2.9316,3.5145
8/1/1989,2.9118,3.4125
9/1/1989,3.0191,3.6166
10/1/1989,3.0559,3.3656
11/1/1989,3.419,3.8155
12/1/1989,3.311,3.7183
1/1/1990,3.6762,4.2091
2/1/1990,3.7223,4.4287
3/1/1990,3.9414,4.8698
4/1/1990,4.2284,4.3005
5/1/1990,3.8829,3.7692
6/1/1990,3.9187,3.789
7/1/1990,4.1407,4.1873
8/1/1990,4.476,4.9296
9/1/1990,4.9718,5.4019
10/1/1990,4.4497,4.6745
11/1/1990,4.1677,4.2257
12/1/1990,3.7814,3.5636
1/1/1991,3.2318,2.8568
2/1/1991,3.1354,2.6724
3/1/1991,3.1932,2.8328
4/1/1991,3.8767,3.5839
5/1/1991,3.8892,3.5916
6/1/1991,4.1769,3.948
7/1/1991,3.987,3.7973
8/1/1991,3.675,3.3365
9/1/1991,3.8942,3.4082
10/1/1991,3.5934,3.0033
11/1/1991,2.6695,2.4165
12/1/1991,2.8531,2.4989
1/1/1992,2.6624,2.4396
2/1/1992,2.8433,2.6915
3/1/1992,2.7238,2.5522
4/1/1992,2.2946,2.7993
5/1/1992,2.5241,3.0287
6/1/1992,2.3184,2.7877
7/1/1992,2.5167,2.8566
8/1/1992,2.0008,2.48
9/1/1992,2.0525,2.4516
10/1/1992,2.5848,2.9516
11/1/1992,2.507,2.794
12/1/1992,2.4227,2.68
1/1/1993,2.8707,3.1909
2/1/1993,1.9831,2.637
3/1/1993,2.1344,2.7686
4/1/1993,2.1708,2.9466
5/1/1993,2.5836,3.5052
6/1/1993,2.3151,3.1849
7/1/1993,2.0208,2.751
