,5YR INTERPOLATION,10YR BOND
3/1/1972,6.609,7.189
4/1/1972,6.533487179,7.034
5/1/1972,6.533487179,7.034
6/1/1972,6.195487179,7.034
7/1/1972,6.041051282,6.717
8/1/1972,6.041051282,6.717
9/1/1972,6.041051282,6.717
10/1/1972,6.041051282,6.717
11/1/1972,6.041051282,6.717
12/1/1972,6.041051282,6.717
1/1/1973,6.041051282,6.717
2/1/1973,6.041051282,6.717
3/1/1973,6.548384615,6.717
4/1/1973,6.548384615,6.717
5/1/1973,6.669692308,6.966
6/1/1973,7.010358974,6.966
7/1/1973,7.093025641,6.966
8/1/1973,7.171948718,7.128
9/1/1973,7.171948718,7.128
10/1/1973,7.426051281,7.302
11/1/1973,7.426051281,7.302
12/1/1973,7.426051281,7.302
1/1/1974,8.457179487,8.02
2/1/1974,8.457179487,8.02
3/1/1974,8.457179487,8.02
4/1/1974,8.457179487,8.02
5/1/1974,8.457179487,8.02
6/1/1974,8.457179487,8.02
7/1/1974,8.457179487,8.02
8/1/1974,8.457179487,8.02
9/1/1974,8.457179487,8.02
10/1/1974,8.649128205,8.414
11/1/1974,8.649128205,8.414
12/1/1974,8.649128205,8.414
1/1/1975,8.649128205,8.414
2/1/1975,8.649128205,8.414
3/1/1975,8.649128205,8.414
4/1/1975,8.649128205,8.414
5/1/1975,8.308461538,8.414
6/1/1975,8.308461538,8.414
7/1/1975,8.308461538,8.414
8/1/1975,8.092666667,8.32
9/1/1975,8.092666667,8.32
10/1/1975,7.838,8.32
11/1/1975,7.792692308,8.227
12/1/1975,7.792692308,8.227
1/1/1976,7.792692308,8.227
2/1/1976,7.792692308,8.227
3/1/1976,7.792692308,8.227
4/1/1976,7.792692308,8.227
5/1/1976,7.792692308,8.227
6/1/1976,7.792692308,8.227
7/1/1976,7.792692308,8.227
8/1/1976,7.792692308,8.227
9/1/1976,7.792692308,8.227
10/1/1976,7.792692308,8.227
11/1/1976,7.792692308,8.227
12/1/1976,7.792692308,8.227
1/1/1977,7.792692308,8.227
2/1/1977,7.792692308,8.227
3/1/1977,7.708025641,8.227
4/1/1977,7.284025641,8.227
5/1/1977,6.923512821,7.487
6/1/1977,6.923512821,7.487
7/1/1977,6.825589744,7.286
8/1/1977,6.678461538,6.984
9/1/1977,6.171128205,6.984
10/1/1977,6.024487179,6.683
11/1/1977,6.024487179,6.683
12/1/1977,6.024487179,6.683
1/1/1978,6.024487179,6.683
2/1/1978,6.024487179,6.683
3/1/1978,5.517820513,6.683
4/1/1978,5.272769231,6.18
5/1/1978,5.272769231,6.18
6/1/1978,5.272769231,6.18
7/1/1978,5.272769231,6.18
8/1/1978,5.272769231,6.18
9/1/1978,5.272769231,6.18
10/1/1978,5.272769231,6.18
11/1/1978,5.272769231,6.18
12/1/1978,5.272769231,6.18
1/1/1979,5.272769231,6.18
2/1/1979,5.272769231,6.18
3/1/1979,5.468615385,6.582
4/1/1979,6.31825641,7.286
5/1/1979,6.31825641,7.286
6/1/1979,6.032769231,6.7
7/1/1979,6.032769231,6.7
8/1/1979,7.239487179,7.788
9/1/1979,6.955948718,7.206
10/1/1979,6.955948718,7.206
11/1/1979,6.955948718,7.206
12/1/1979,7.338641026,7.295
1/1/1980,7.933,8.515
2/1/1980,8.326641026,9.323
3/1/1980,8.643307692,9.973
4/1/1980,9.392076923,9.939
5/1/1980,8.642307692,8.4
6/1/1980,8.569230769,8.25
7/1/1980,8.676410256,8.47
8/1/1980,8.764589744,8.651
9/1/1980,8.553102564,8.741
10/1/1980,8.402076923,8.431
11/1/1980,8.305666667,8.931
12/1/1980,8.271076923,8.86
1/1/1981,7.964641026,8.231
2/1/1981,7.924692308,8.149
3/1/1981,7.779025641,7.85
4/1/1981,7.632897436,7.899
5/1/1981,7.721564103,8.081
6/1/1981,7.681615385,7.999
7/1/1981,7.930564103,8.51
8/1/1981,8.096205128,8.85
9/1/1981,8.028487179,8.711
10/1/1981,8.184384615,9.031
11/1/1981,7.755179487,8.15
12/1/1981,7.571230769,8.12
1/1/1982,7.55174359,8.08
2/1/1982,7.55174359,8.08
3/1/1982,7.381230769,7.73
4/1/1982,7.366615385,7.7
5/1/1982,7.561487179,8.1
6/1/1982,7.766102564,8.52
7/1/1982,7.683282051,8.35
8/1/1982,7.727128205,8.44
9/1/1982,7.751487179,8.49
10/1/1982,7.878153846,8.75
11/1/1982,7.693025641,8.37
12/1/1982,7.425076923,7.82
1/1/1983,7.595589744,8.17
2/1/1983,7.483538462,7.94
3/1/1983,7.488410256,7.95
4/1/1983,7.444564103,7.86
5/1/1983,7.468923077,7.91
6/1/1983,7.454307692,7.88
7/1/1983,7.464051282,7.9
8/1/1983,7.449435897,7.87
9/1/1983,7.371487179,7.71
10/1/1983,7.027282051,7.7
11/1/1983,6.968820513,7.58
12/1/1983,6.87625641,7.39
1/1/1984,6.89574359,7.43
2/1/1984,6.89574359,7.43
3/1/1984,6.798307692,7.23
4/1/1984,6.793435897,7.22
5/1/1984,6.978564103,7.6
6/1/1984,6.924974359,7.49
7/1/1984,6.915230769,7.47
8/1/1984,6.812923077,7.26
9/1/1984,6.788564103,7.21
10/1/1984,6.657025641,6.94
11/1/1984,6.535230769,6.69
12/1/1984,6.540102564,6.7
1/1/1985,6.486512821,6.59
2/1/1985,6.323230769,6.95
3/1/1985,5.985230769,6.95
4/1/1985,5.530974359,6.71
5/1/1985,5.516358974,6.68
6/1/1985,3.176410256,6.52
7/1/1985,5.384820513,6.41
8/1/1985,5.306871795,6.25
9/1/1985,5.063282051,5.75
10/1/1985,5.540717949,6.73
11/1/1985,4.975076923,6.26
12/1/1985,4.916615385,6.14
1/1/1986,6.057794872,5.71
2/1/1986,5.704512821,5.68
3/1/1986,4.928051282,4.78
4/1/1986,4.576102564,4.75
5/1/1986,4.785589744,5.18
6/1/1986,2.467223077,5.0643
7/1/1986,4.745446154,5.0976
8/1/1986,4.810533333,5.2312
9/1/1986,5.035464103,5.6929
10/1/1986,5.027669231,5.6769
11/1/1986,4.564920513,5.4181
12/1/1986,4.508602564,5.3025
1/1/1987,4.385053846,5.0489
2/1/1987,4.237535897,4.7461
3/1/1987,3.797571795,4.5327
4/1/1987,3.368805128,3.6526
5/1/1987,3.007269231,2.9105
6/1/1987,3.193274359,3.2923
7/1/1987,3.738135897,4.4107
8/1/1987,3.958876923,4.8638
9/1/1987,4.224487179,5.409
10/1/1987,4.371664103,5.7111
11/1/1987,3.933689744,4.8121
12/1/1987,4.026448718,5.0025
1/1/1988,3.712558974,4.3582
2/1/1988,3.678212821,4.2877
3/1/1988,3.749487179,4.434
4/1/1988,3.701646154,4.3358
5/1/1988,3.856715385,4.6541
6/1/1988,3.881074359,4.7041
7/1/1988,4.018897436,4.987
8/1/1988,4.102887179,5.1594
9/1/1988,4.103958974,5.1616
10/1/1988,3.91074359,4.765
11/1/1988,3.835961538,4.6115
12/1/1988,3.783102564,4.503
1/1/1989,3.929548718,4.8036
2/1/1989,3.979971795,4.9071
3/1/1989,4.100987179,5.1555
4/1/1989,4.136453846,5.2283
5/1/1989,4.216107692,5.3918
6/1/1989,4.741528205,5.4344
7/1/1989,4.637076923,5.22
8/1/1989,4.558982051,5.0597
9/1/1989,4.650912821,5.2484
10/1/1989,5.034007692,5.3437
11/1/1989,5.116487179,5.513
12/1/1989,5.126717949,5.534
1/1/1990,5.905176923,6.4381
2/1/1990,6.069989744,6.7764
3/1/1990,6.280889744,7.2093
4/1/1990,6.786946154,6.8591
5/1/1990,6.610392308,6.4967
6/1/1990,6.59514359,6.4654
7/1/1990,6.762733333,6.8094
8/1/1990,7.149310256,7.6029
9/1/1990,7.623597436,8.0537
10/1/1990,7.428579487,7.6534
11/1/1990,7.2701,7.3281
12/1/1990,7.008046154,6.7902
1/1/1991,6.858823077,6.4839
2/1/1991,6.775076923,6.312
3/1/1991,6.872610256,6.5122
4/1/1991,6.936869231,6.6441
5/1/1991,6.932192308,6.6345
6/1/1991,6.997523077,6.7686
7/1/1991,6.869741026,6.6801
8/1/1991,6.728312821,6.3898
9/1/1991,6.588248718,6.1023
10/1/1991,6.489302564,5.8992
11/1/1991,6.147825641,5.8948
12/1/1991,6.051705128,5.6975
1/1/1992,5.516120513,5.2933
2/1/1992,5.583546154,5.4317
3/1/1992,5.564789744,5.3932
4/1/1992,5.219330769,5.7241
5/1/1992,5.219135897,5.7237
6/1/1992,5.185617949,5.6549
7/1/1992,5.062751282,5.4027
8/1/1992,4.538471795,5.0176
9/1/1992,4.462471795,4.8616
10/1/1992,4.431779487,4.7986
11/1/1992,4.355974359,4.643
12/1/1992,4.327669231,4.5849
1/1/1993,4.38754359,4.7078
2/1/1993,3.720451282,4.3744
3/1/1993,3.701646154,4.3358
4/1/1993,3.836205128,4.612
5/1/1993,3.974758974,4.8964
6/1/1993,3.925505128,4.7953
7/1/1993,3.792797436,4.5229
8/1/1993,3.711048718,4.3551
9/1/1993,3.093812821,4.1213
10/1/1993,2.970653846,3.8685
11/1/1993,2.850515385,3.6219
12/1/1993,2.606487179,3.121
1/1/1994,2.657348718,3.2254
2/1/1994,2.784210256,3.4858
3/1/1994,3.294823077,4.5339
4/1/1994,3.193879487,4.3267
5/1/1994,3.072815385,4.0782
6/1/1994,3.155782051,4.2485
7/1/1994,3.203233333,4.3459
8/1/1994,3.332628205,4.6115
9/1/1994,3.308415385,4.5618
10/1/1994,3.382466667,4.7138
11/1/1994,3.380323077,4.7094
12/1/1994,3.323371795,4.5925
1/1/1995,3.3698,4.6878
2/1/1995,3.279135897,4.5017
3/1/1995,3.028725641,3.9877
4/1/1995,2.250787179,3.4213
5/1/1995,2.136835897,3.1874
6/1/1995,1.948833333,2.8015
7/1/1995,1.843528205,2.7564
8/1/1995,2.065292308,3.2116
9/1/1995,1.714769231,3.008
10/1/1995,1.675746154,2.9279
11/1/1995,1.685294872,2.9475
12/1/1995,1.662007692,2.8997
1/1/1996,1.771233333,3.1239
2/1/1996,1.809184615,3.2018
3/1/1996,1.804069231,3.1913
4/1/1996,1.834176923,3.2531
5/1/1996,1.862238462,3.3107
6/1/1996,1.817564103,3.219
7/1/1996,1.860533333,3.3072
8/1/1996,1.788138462,3.1586
9/1/1996,1.663615385,2.903
10/1/1996,1.581866667,2.7352
11/1/1996,1.52764359,2.6239
12/1/1996,1.486964103,2.5404
1/1/1997,1.494076923,2.555
2/1/1997,1.461435897,2.488
3/1/1997,1.434105128,2.4319
4/1/1997,1.399320513,2.3605
5/1/1997,1.569589744,2.71
6/1/1997,1.530030769,2.6288
7/1/1997,1.463141026,2.4915
8/1/1997,1.373451282,2.3074
9/1/1997,1.313479487,2.1843
10/1/1997,1.192853846,1.9367
11/1/1997,1.16805641,1.8858
12/1/1997,1.164158974,1.8778
1/1/1998,1.197628205,1.9465
2/1/1998,1.201623077,1.9547
3/1/1998,1.13575641,1.8195
4/1/1998,1.148861538,1.8464
5/1/1998,1.020587179,1.5831
6/1/1998,0.977910256,1.4955
7/1/1998,1.060292308,1.6646
8/1/1998,0.956669231,1.4519
9/1/1998,0.618851282,1.0308
10/1/1998,0.533107692,0.8548
11/1/1998,0.561510256,0.9131
12/1/1998,0.856594872,1.5188
1/1/1999,1.124787179,2.0693
2/1/1999,1.090338462,2.1368
3/1/1999,0.889523077,1.7246
4/1/1999,0.799589744,1.54
5/1/1999,0.683297436,1.3574
6/1/1999,0.844707692,1.6764
7/1/1999,0.86265641,1.7064
8/1/1999,0.945235897,1.8978
9/1/1999,0.874358974,1.766
10/1/1999,0.910182051,1.7889
11/1/1999,0.934051282,1.816
12/1/1999,1.123364103,1.7448
1/1/2000,0.885279487,1.7241
2/1/2000,0.927064103,1.8345
3/1/2000,0.96484359,1.8231
4/1/2000,0.898474359,1.7635
5/1/2000,0.86344359,1.7217
6/1/2000,0.889051282,1.699
7/1/2000,0.956951282,1.7289
8/1/2000,1.080323077,1.7714
9/1/2000,1.151338462,1.8898
10/1/2000,1.140246154,1.8424
11/1/2000,1.117528205,1.7684
12/1/2000,1.295902564,1.6378
1/1/2001,0.984851282,1.5508
2/1/2001,0.840533333,1.4352
3/1/2001,0.622374359,1.1954
4/1/2001,0.68225641,1.358
5/1/2001,0.630546154,1.2847
6/1/2001,0.598728205,1.2016
