,5YR Real Yield,5.25YR Real Yield
3/1/1972,1.1997,1.2287
4/1/1972,1.0219,1.047
5/1/1972,0.6973,0.7223
6/1/1972,0.3593,0.4012
7/1/1972,0.2049,0.2387
8/1/1972,-0.4273,-0.3935
9/1/1972,0.1262,0.16
10/1/1972,0.6651,0.6989
11/1/1972,0.8148,0.8486
12/1/1972,0.6979,0.7317
1/1/1973,0.7464,0.7802
2/1/1973,0.3049,0.3387
3/1/1973,-0.3354,-0.327
4/1/1973,-0.6825,-0.6741
5/1/1973,-1.2485,-1.2337
6/1/1973,-0.8847,-0.8869
7/1/1973,-1.2237,-1.2301
8/1/1973,-1.5649,-1.5671
9/1/1973,-1.775,-1.7772
10/1/1973,-1.6312,-1.6374
11/1/1973,-2.5264,-2.5327
12/1/1973,-4.2772,-4.2834
1/1/1974,-5.6258,-5.6477
2/1/1974,-7.0985,-7.1204
3/1/1974,-6.9704,-6.9923
4/1/1974,-7.6823,-7.7041
5/1/1974,-7.7635,-7.7854
6/1/1974,-8.137,-8.1589
7/1/1974,-9.2504,-9.2723
8/1/1974,-9.3533,-9.3752
9/1/1974,-9.8644,-9.8863
10/1/1974,-10.6528,-10.6646
11/1/1974,-11.2986,-11.3104
12/1/1974,-10.9075,-10.9192
1/1/1975,-11.1079,-11.1196
2/1/1975,-10.7242,-10.736
3/1/1975,-9.7183,-9.73
4/1/1975,-9.6275,-9.6393
5/1/1975,-9.3698,-9.3645
6/1/1975,-9.216,-9.2108
7/1/1975,-8.9795,-8.9743
8/1/1975,-8.522,-8.5106
9/1/1975,-8.2044,-8.193
10/1/1975,-9.024,-8.9999
11/1/1975,-8.4234,-8.4017
12/1/1975,-6.6019,-6.5802
1/1/1976,-5.2349,-5.2132
2/1/1976,-3.8615,-3.8398
3/1/1976,-3.6894,-3.6677
4/1/1976,-3.6245,-3.6028
5/1/1976,-3.578,-3.5563
6/1/1976,-3.3172,-3.2955
7/1/1976,-2.6458,-2.624
8/1/1976,-1.6951,-1.6734
9/1/1976,-2.3093,-2.2876
10/1/1976,-1.3685,-1.3468
11/1/1976,-0.9353,-0.9136
12/1/1976,-1.4628,-1.4411
1/1/1977,-1.2694,-1.2476
2/1/1977,-1.5202,-1.4985
3/1/1977,-1.4473,-1.4214
4/1/1977,-1.8083,-1.7612
5/1/1977,-2.3791,-2.351
6/1/1977,-2.2061,-2.1779
7/1/1977,-1.9252,-1.9022
8/1/1977,-2.3645,-2.3492
9/1/1977,-2.5094,-2.4688
10/1/1977,-2.1984,-2.1655
11/1/1977,-1.8043,-1.7714
12/1/1977,-1.7195,-1.6866
1/1/1978,-0.916,-0.8831
2/1/1978,-0.8681,-0.8352
3/1/1978,-1.6001,-1.5418
4/1/1978,-1.2017,-1.1563
5/1/1978,-1.3423,-1.297
6/1/1978,-1.0068,-0.9614
7/1/1978,-0.8034,-0.758
8/1/1978,-1.3313,-1.2859
9/1/1978,-0.535,-0.4896
10/1/1978,-0.3482,-0.3028
11/1/1978,0.1287,0.1741
12/1/1978,0.819,0.8643
1/1/1979,1.1698,1.2151
2/1/1979,1.6673,1.7127
3/1/1979,1.6456,1.7013
4/1/1979,2.7093,2.7576
5/1/1979,2.7429,2.7913
6/1/1979,2.2167,2.2501
7/1/1979,1.5931,1.6265
8/1/1979,3.4175,3.4449
9/1/1979,3.2681,3.2806
10/1/1979,2.991,3.0035
11/1/1979,2.6463,2.6588
12/1/1979,2.5704,2.5682
1/1/1980,2.8801,2.9092
2/1/1980,3.1561,3.2059
3/1/1980,3.5855,3.6519
4/1/1980,3.9505,3.9779
5/1/1980,3.0888,3.0766
6/1/1980,2.5573,2.5413
7/1/1980,2.7542,2.7439
8/1/1980,3.1473,3.1416
9/1/1980,2.6378,2.6472
