,5YR INTERPOLATION,5.25 YR
3/1/1972,6.609,6.638
4/1/1972,6.533487179,6.558512821
5/1/1972,6.533487179,6.558512821
6/1/1972,6.195487179,6.237412821
7/1/1972,6.041051282,6.074848718
8/1/1972,6.041051282,6.074848718
9/1/1972,6.041051282,6.074848718
10/1/1972,6.041051282,6.074848718
11/1/1972,6.041051282,6.074848718
12/1/1972,6.041051282,6.074848718
1/1/1973,6.041051282,6.074848718
2/1/1973,6.041051282,6.074848718
3/1/1973,6.548384615,6.556815385
4/1/1973,6.548384615,6.556815385
5/1/1973,6.669692308,6.684507692
6/1/1973,7.010358974,7.008141026
7/1/1973,7.093025641,7.086674359
8/1/1973,7.171948718,7.169751282
9/1/1973,7.171948718,7.169751282
10/1/1973,7.426051281,7.419848717
11/1/1973,7.426051281,7.419848717
12/1/1973,7.426051281,7.419848717
1/1/1974,8.457179487,8.435320513
2/1/1974,8.457179487,8.435320513
3/1/1974,8.457179487,8.435320513
4/1/1974,8.457179487,8.435320513
5/1/1974,8.457179487,8.435320513
6/1/1974,8.457179487,8.435320513
7/1/1974,8.457179487,8.435320513
8/1/1974,8.457179487,8.435320513
9/1/1974,8.457179487,8.435320513
10/1/1974,8.649128205,8.637371795
11/1/1974,8.649128205,8.637371795
12/1/1974,8.649128205,8.637371795
1/1/1975,8.649128205,8.637371795
2/1/1975,8.649128205,8.637371795
3/1/1975,8.649128205,8.637371795
4/1/1975,8.649128205,8.637371795
5/1/1975,8.308461538,8.313738462
6/1/1975,8.308461538,8.313738462
7/1/1975,8.308461538,8.313738462
8/1/1975,8.092666667,8.104033333
9/1/1975,8.092666667,8.104033333
10/1/1975,7.838,7.8621
11/1/1975,7.792692308,7.814407692
12/1/1975,7.792692308,7.814407692
1/1/1976,7.792692308,7.814407692
2/1/1976,7.792692308,7.814407692
3/1/1976,7.792692308,7.814407692
4/1/1976,7.792692308,7.814407692
5/1/1976,7.792692308,7.814407692
6/1/1976,7.792692308,7.814407692
7/1/1976,7.792692308,7.814407692
8/1/1976,7.792692308,7.814407692
9/1/1976,7.792692308,7.814407692
10/1/1976,7.792692308,7.814407692
11/1/1976,7.792692308,7.814407692
12/1/1976,7.792692308,7.814407692
1/1/1977,7.792692308,7.814407692
2/1/1977,7.792692308,7.814407692
3/1/1977,7.708025641,7.733974359
4/1/1977,7.284025641,7.331174359
5/1/1977,6.923512821,6.951687179
6/1/1977,6.923512821,6.951687179
7/1/1977,6.825589744,6.848610256
8/1/1977,6.678461538,6.693738462
9/1/1977,6.171128205,6.211771795
10/1/1977,6.024487179,6.057412821
11/1/1977,6.024487179,6.057412821
12/1/1977,6.024487179,6.057412821
1/1/1978,6.024487179,6.057412821
2/1/1978,6.024487179,6.057412821
3/1/1978,5.517820513,5.576079487
4/1/1978,5.272769231,5.318130769
5/1/1978,5.272769231,5.318130769
6/1/1978,5.272769231,5.318130769
7/1/1978,5.272769231,5.318130769
8/1/1978,5.272769231,5.318130769
9/1/1978,5.272769231,5.318130769
10/1/1978,5.272769231,5.318130769
11/1/1978,5.272769231,5.318130769
12/1/1978,5.272769231,5.318130769
1/1/1979,5.272769231,5.318130769
2/1/1979,5.272769231,5.318130769
3/1/1979,5.468615385,5.524284615
4/1/1979,6.31825641,6.36664359
5/1/1979,6.31825641,6.36664359
6/1/1979,6.032769231,6.066130769
7/1/1979,6.032769231,6.066130769
8/1/1979,7.239487179,7.266912821
9/1/1979,6.955948718,6.968451282
10/1/1979,6.955948718,6.968451282
11/1/1979,6.955948718,6.968451282
12/1/1979,7.338641026,7.336458974
1/1/1980,7.933,7.9621
2/1/1980,8.326641026,8.376458974
3/1/1980,8.643307692,8.709792308
4/1/1980,9.392076923,9.419423077
5/1/1980,8.642307692,8.630192308
6/1/1980,8.569230769,8.553269231
7/1/1980,8.676410256,8.666089744
8/1/1980,8.764589744,8.758910256
9/1/1980,8.553102564,8.562497436
10/1/1980,8.402076923,8.403523077
11/1/1980,8.305666667,8.336933333
12/1/1980,8.271076923,8.300523077
1/1/1981,7.964641026,7.977958974
2/1/1981,7.924692308,7.935907692
3/1/1981,7.779025641,7.782574359
4/1/1981,7.632897436,7.646202564
5/1/1981,7.721564103,7.739535897
6/1/1981,7.681615385,7.697484615
7/1/1981,7.930564103,7.959535897
8/1/1981,8.096205128,8.133894872
9/1/1981,8.028487179,8.062612821
10/1/1981,8.184384615,8.226715385
11/1/1981,7.755179487,7.774920513
12/1/1981,7.571230769,7.598669231
1/1/1982,7.55174359,7.57815641
2/1/1982,7.55174359,7.57815641
3/1/1982,7.381230769,7.398669231
4/1/1982,7.366615385,7.383284615
5/1/1982,7.561487179,7.588412821
6/1/1982,7.766102564,7.803797436
7/1/1982,7.683282051,7.716617949
8/1/1982,7.727128205,7.762771795
9/1/1982,7.751487179,7.788412821
10/1/1982,7.878153846,7.921746154
11/1/1982,7.693025641,7.726874359
12/1/1982,7.425076923,7.444823077
1/1/1983,7.595589744,7.624310256
2/1/1983,7.483538462,7.506361538
3/1/1983,7.488410256,7.511489744
4/1/1983,7.444564103,7.465335897
5/1/1983,7.468923077,7.490976923
6/1/1983,7.454307692,7.475592308
7/1/1983,7.464051282,7.485848718
8/1/1983,7.449435897,7.470464103
9/1/1983,7.371487179,7.388412821
10/1/1983,7.027282051,7.060917949
11/1/1983,6.968820513,6.999379487
12/1/1983,6.87625641,6.90194359
1/1/1984,6.89574359,6.92245641
2/1/1984,6.89574359,6.92245641
3/1/1984,6.798307692,6.819892308
4/1/1984,6.793435897,6.814764103
5/1/1984,6.978564103,7.009635897
6/1/1984,6.924974359,6.953225641
7/1/1984,6.915230769,6.942969231
8/1/1984,6.812923077,6.835276923
9/1/1984,6.788564103,6.809635897
10/1/1984,6.657025641,6.671174359
11/1/1984,6.535230769,6.542969231
12/1/1984,6.540102564,6.548097436
1/1/1985,6.486512821,6.491687179
2/1/1985,6.323230769,6.354569231
3/1/1985,5.985230769,6.033469231
4/1/1985,5.530974359,5.589925641
5/1/1985,5.516358974,5.574541026
6/1/1985,3.176410256,3.343589744
7/1/1985,5.384820513,5.436079487
8/1/1985,5.306871795,5.354028205
9/1/1985,5.063282051,5.097617949
10/1/1985,5.540717949,5.600182051
11/1/1985,4.975076923,5.039323077
12/1/1985,4.916615385,4.977784615
1/1/1986,6.057794872,6.040405128
2/1/1986,5.704512821,5.703287179
3/1/1986,4.928051282,4.920648718
4/1/1986,4.576102564,4.584797436
5/1/1986,4.785589744,4.805310256
6/1/1986,2.467223077,2.597076923
7/1/1986,4.745446154,4.763053846
8/1/1986,4.810533333,4.831566667
9/1/1986,5.035464103,5.068335897
10/1/1986,5.027669231,5.060130769
11/1/1986,4.564920513,4.607579487
12/1/1986,4.508602564,4.548297436
1/1/1987,4.385053846,4.418246154
2/1/1987,4.237535897,4.262964103
3/1/1987,3.797571795,3.834328205
4/1/1987,3.368805128,3.382994872
5/1/1987,3.007269231,3.002430769
6/1/1987,3.193274359,3.198225641
7/1/1987,3.738135897,3.771764103
8/1/1987,3.958876923,4.004123077
9/1/1987,4.224487179,4.283712821
10/1/1987,4.371664103,4.438635897
11/1/1987,3.933689744,3.977610256
12/1/1987,4.026448718,4.075251282
1/1/1988,3.712558974,3.744841026
2/1/1988,3.678212821,3.708687179
3/1/1988,3.749487179,3.783712821
4/1/1988,3.701646154,3.733353846
5/1/1988,3.856715385,3.896584615
6/1/1988,3.881074359,3.922225641
7/1/1988,4.018897436,4.067302564
8/1/1988,4.102887179,4.155712821
9/1/1988,4.103958974,4.156841026
10/1/1988,3.91074359,3.95345641
11/1/1988,3.835961538,3.874738462
12/1/1988,3.783102564,3.819097436
1/1/1989,3.929548718,3.973251282
2/1/1989,3.979971795,4.026328205
3/1/1989,4.100987179,4.153712821
4/1/1989,4.136453846,4.191046154
5/1/1989,4.216107692,4.274892308
6/1/1989,4.741528205,4.776171795
7/1/1989,4.637076923,4.666223077
8/1/1989,4.558982051,4.584017949
9/1/1989,4.650912821,4.680787179
10/1/1989,5.034007692,5.049492308
11/1/1989,5.116487179,5.136312821
12/1/1989,5.126717949,5.147082051
1/1/1990,5.905176923,5.931823077
2/1/1990,6.069989744,6.105310256
3/1/1990,6.280889744,6.327310256
4/1/1990,6.786946154,6.790553846
5/1/1990,6.610392308,6.604707692
6/1/1990,6.59514359,6.58865641
7/1/1990,6.762733333,6.765066667
8/1/1990,7.149310256,7.171989744
9/1/1990,7.623597436,7.645102564
10/1/1990,7.428579487,7.439820513
11/1/1990,7.2701,7.273
12/1/1990,7.008046154,6.997153846
1/1/1991,6.858823077,6.840076923
2/1/1991,6.775076923,6.751923077
3/1/1991,6.872610256,6.854589744
4/1/1991,6.936869231,6.922230769
5/1/1991,6.932192308,6.917307692
6/1/1991,6.997523077,6.986076923
7/1/1991,6.869741026,6.860258974
8/1/1991,6.728312821,6.711387179
9/1/1991,6.588248718,6.563951282
10/1/1991,6.489302564,6.459797436
11/1/1991,6.147825641,6.135174359
12/1/1991,6.051705128,6.033994872
1/1/1992,5.516120513,5.504979487
2/1/1992,5.583546154,5.575953846
3/1/1992,5.564789744,5.556210256
4/1/1992,5.219330769,5.244569231
5/1/1992,5.219135897,5.244364103
6/1/1992,5.185617949,5.209082051
7/1/1992,5.062751282,5.079748718
8/1/1992,4.538471795,4.562428205
9/1/1992,4.462471795,4.482428205
10/1/1992,4.431779487,4.450120513
11/1/1992,4.355974359,4.370325641
12/1/1992,4.327669231,4.340530769
1/1/1993,4.38754359,4.40355641
2/1/1993,3.720451282,3.753148718
3/1/1993,3.701646154,3.733353846
4/1/1993,3.836205128,3.874994872
5/1/1993,3.974758974,4.020841026
6/1/1993,3.925505128,3.968994872
7/1/1993,3.792797436,3.829302564
8/1/1993,3.711048718,3.743251282
9/1/1993,3.093812821,3.145187179
10/1/1993,2.970653846,3.015546154
11/1/1993,2.850515385,2.889084615
12/1/1993,2.606487179,2.632212821
1/1/1994,2.657348718,2.685751282
2/1/1994,2.784210256,2.819289744
3/1/1994,3.294823077,3.356776923
4/1/1994,3.193879487,3.250520513
5/1/1994,3.072815385,3.123084615
6/1/1994,3.155782051,3.210417949
7/1/1994,3.203233333,3.260366667
8/1/1994,3.332628205,3.396571795
9/1/1994,3.308415385,3.371084615
10/1/1994,3.382466667,3.449033333
11/1/1994,3.380323077,3.446776923
12/1/1994,3.323371795,3.386828205
1/1/1995,3.3698,3.4357
2/1/1995,3.279135897,3.340264103
3/1/1995,3.028725641,3.076674359
4/1/1995,2.250787179,2.309312821
5/1/1995,2.136835897,2.189364103
6/1/1995,1.948833333,1.991466667
7/1/1995,1.843528205,1.889171795
8/1/1995,2.065292308,2.122607692
9/1/1995,1.714769231,1.779430769
10/1/1995,1.675746154,1.738353846
11/1/1995,1.685294872,1.748405128
12/1/1995,1.662007692,1.723892308
1/1/1996,1.771233333,1.838866667
2/1/1996,1.809184615,1.878815385
3/1/1996,1.804069231,1.873430769
4/1/1996,1.834176923,1.905123077
5/1/1996,1.862238462,1.934661538
6/1/1996,1.817564103,1.887635897
7/1/1996,1.860533333,1.932866667
8/1/1996,1.788138462,1.856661538
9/1/1996,1.663615385,1.725584615
10/1/1996,1.581866667,1.639533333
11/1/1996,1.52764359,1.58245641
12/1/1996,1.486964103,1.539635897
1/1/1997,1.494076923,1.547123077
2/1/1997,1.461435897,1.512764103
3/1/1997,1.434105128,1.483994872
4/1/1997,1.399320513,1.447379487
5/1/1997,1.569589744,1.626610256
6/1/1997,1.530030769,1.584969231
7/1/1997,1.463141026,1.514558974
8/1/1997,1.373451282,1.420148718
9/1/1997,1.313479487,1.357020513
10/1/1997,1.192853846,1.230046154
11/1/1997,1.16805641,1.20394359
12/1/1997,1.164158974,1.199841026
1/1/1998,1.197628205,1.235071795
2/1/1998,1.201623077,1.239276923
3/1/1998,1.13575641,1.16994359
4/1/1998,1.148861538,1.183738462
5/1/1998,1.020587179,1.048712821
6/1/1998,0.977910256,1.003789744
7/1/1998,1.060292308,1.090507692
8/1/1998,0.956669231,0.981430769
9/1/1998,0.618851282,0.639448718
10/1/1998,0.533107692,0.549192308
11/1/1998,0.561510256,0.579089744
12/1/1998,0.856594872,0.889705128
1/1/1999,1.124787179,1.172012821
2/1/1999,1.090338462,1.142661538
3/1/1999,0.889523077,0.931276923
4/1/1999,0.799589744,0.836610256
5/1/1999,0.683297436,0.717002564
6/1/1999,0.844707692,0.886292308
7/1/1999,0.86265641,0.90484359
8/1/1999,0.945235897,0.992864103
9/1/1999,0.874358974,0.918941026
10/1/1999,0.910182051,0.954117949
11/1/1999,0.934051282,0.978148718
12/1/1999,1.123364103,1.154435897
1/1/2000,0.885279487,0.927220513
2/1/2000,0.927064103,0.972435897
3/1/2000,0.96484359,1.00775641
