DATE,5 YR,10 YR
1/31/1962,2.308,2.8
2/28/1962,2.439,2.818
3/30/1962,1.564,2.517
4/30/1962,0.948,2.092
5/31/1962,0.677,1.939
6/29/1962,0.611,1.775
7/31/1962,0.708,1.692
8/31/1962,0.673,1.632
9/28/1962,0.36,1.001
10/31/1962,1.022,1.632
11/30/1962,1.021,1.78
12/31/1962,0.907,1.635
1/31/1963,0.677,1.569
2/28/1963,0.29,1.316
3/29/1963,0.604,1.471
4/30/1963,0.626,1.437
5/31/1963,0.719,1.504
6/28/1963,1.159,1.867
7/31/1963,1.479,2.145
8/30/1963,2.049,2.685
9/30/1963,1.756,2.387
10/31/1963,1.717,2.348
11/29/1963,2.214,2.968
12/31/1963,2.208,2.987
1/31/1964,2.173,2.947
2/28/1964,2.545,3.129
3/31/1964,2.554,3.148
4/30/1964,2.84,3.45
5/28/1964,2.629,3.229
6/30/1964,2.872,3.477
7/31/1964,2.828,3.398
8/31/1964,2.185,2.744
9/30/1964,2.139,2.713
10/30/1964,2.1,2.685
11/30/1964,2.976,2.689
12/31/1964,3.191,3.063
1/29/1965,3.19,3.092
2/26/1965,3.593,3.552
3/31/1965,3.589,3.574
4/30/1965,2.712,2.825
5/28/1965,2.511,2.68
6/30/1965,1.971,2.581
7/30/1965,1.744,2.339
8/31/1965,1.41,1.984
9/30/1965,1.378,1.88
10/29/1965,1.488,1.996
11/30/1965,1.379,1.896
12/31/1965,1.399,1.947
1/31/1966,1.454,1.936
2/28/1966,1.593,2.07
3/31/1966,1.778,2.358
4/29/1966,1.595,2.139
5/31/1966,1.717,2.281
6/30/1966,1.93,2.582
7/29/1966,2.806,3.145
8/31/1966,2.787,3.177
9/30/1966,2.647,2.776
10/31/1966,2.4,2.611
11/30/1966,2.612,2.674
12/30/1966,2.495,2.547
1/31/1967,2.29,2.542
2/28/1967,2.143,2.328
3/31/1967,2.07,2.547
4/28/1967,2.584,3.076
5/31/1967,2.753,3.353
6/30/1967,2.798,3.495
7/31/1967,3.218,3.967
8/31/1967,3.359,4.087
9/29/1967,3.56,4.206
10/31/1967,3.424,4.024
11/30/1967,4.381,4.151
12/29/1967,4.333,4.246
1/31/1968,4.269,4.156
2/29/1968,3.968,3.917
3/29/1968,3.771,3.868
4/30/1968,3.449,3.546
5/31/1968,3.889,3.951
6/28/1968,3.937,4.127
7/31/1968,3.621,3.944
8/30/1968,3.724,4.031
9/30/1968,3.38,3.852
10/31/1968,3.23,3.758
11/29/1968,3.671,4.153
12/31/1968,3.198,3.829
1/31/1969,3.099,3.883
2/28/1969,3.431,3.785
3/28/1969,3.392,3.843
4/30/1969,3.234,3.669
5/29/1969,3.451,4.025
6/30/1969,3.603,4.326
7/31/1969,3.118,3.708
8/29/1969,3.104,3.735
9/30/1969,2.93,3.571
10/31/1969,2.787,3.352
11/28/1969,3.015,3.62
12/31/1969,2.959,3.605
1/30/1970,2.621,3.329
2/27/1970,2.548,3.107
3/31/1970,2.133,2.83
4/30/1970,2.063,2.976
5/29/1970,2.122,3.117
6/30/1970,2.201,3.227
7/31/1970,1.686,2.542
8/31/1970,1.72,2.494
9/30/1970,1.543,2.373
10/30/1970,1.23,2.056
11/30/1970,1.122,2.081
12/31/1970,1.58,2.662
1/29/1971,1.051,2.092
2/26/1971,0.922,1.881
3/31/1971,0.523,1.405
4/30/1971,-0.589,0.709
5/28/1971,-1.108,0.154
6/30/1971,-1.244,0.063
7/30/1971,-1.784,-0.681
8/31/1971,-1.824,-0.86
9/30/1971,-2.38,-0.985
10/29/1971,-2.494,-1.119
11/30/1971,-2.919,-1.498
12/31/1971,-2.744,-1.369
1/31/1972,-2.669,-1.295
2/29/1972,-2.647,-1.268
3/30/1972,-2.359,-0.78
4/28/1972,-2.037,-0.411
5/31/1972,-1.933,-0.113
6/30/1972,-0.92,0.778
7/31/1972,-0.662,0.948
8/31/1972,-1.018,0.633
9/29/1972,-0.516,0.848
10/31/1972,-0.648,0.485
11/30/1972,-0.447,0.661
12/29/1972,0.48,1.018
1/31/1973,0.687,1.221
2/28/1973,0.677,1.328
3/30/1973,0.959,1.902
4/30/1973,0.891,1.912
5/31/1973,0.647,1.949
6/29/1973,0.706,2.203
7/31/1973,3.062,2.826
8/31/1973,3.373,3.501
9/28/1973,3.077,3.354
10/31/1973,2.095,2.413
11/30/1973,3.295,3.106
12/31/1973,3.422,3.535
1/31/1974,2.671,3.169
2/28/1974,2.136,2.977
3/29/1974,1.928,2.712
4/30/1974,0.472,1.672
5/31/1974,-0.417,0.67
6/28/1974,-0.361,0.957
7/31/1974,-0.557,0.971
8/30/1974,0.039,1.715
9/30/1974,-0.578,1.058
10/31/1974,-0.744,1.164
11/29/1974,-0.932,1.519
12/31/1974,-1.19,1.544
1/31/1975,-3.26,-0.796
2/28/1975,-4.95,-3.125
3/31/1975,-6.488,-5.016
4/30/1975,-7.588,-5.957
5/30/1975,-9.155,-7.276
6/30/1975,-10.046,-8.248
7/31/1975,-10.025,-8.834
8/29/1975,-10.22,-8.995
9/30/1975,-10.156,-8.989
10/31/1975,-8.983,-7.906
11/28/1975,-9.39,-8.02
12/31/1975,-9.846,-8.411
1/30/1976,-10.688,-8.974
2/27/1976,-11.038,-9.236
3/31/1976,-10.723,-8.604
4/30/1976,-9.107,-7.811
5/28/1976,-8.433,-7.729
6/30/1976,-7.608,-6.347
7/30/1976,-7.185,-5.805
8/31/1976,-7.877,-6.477
9/30/1976,-7.031,-6.105
10/29/1976,-5.145,-4.511
11/30/1976,-5.239,-4.508
12/31/1976,-5.562,-4.71
1/31/1977,-7.037,-5.841
2/28/1977,-7.488,-6.168
3/31/1977,-8.37,-6.485
4/29/1977,-8.399,-5.997
5/31/1977,-6.639,-4.369
6/30/1977,-5.802,-3.202
7/29/1977,-5.185,-2.329
8/31/1977,-5.869,-2.858
9/30/1977,-6.873,-3.936
10/31/1977,-7.083,-4.092
11/30/1977,-5.481,-3.279
12/30/1977,-5.156,-2.896
1/31/1978,-5.066,-2.583
2/28/1978,-4.673,-2.409
3/31/1978,-4.321,-1.653
4/28/1978,-3.203,-0.685
5/31/1978,-1.96,-0.012
6/30/1978,-1.597,0.048
7/31/1978,-1.88,-0.21
8/31/1978,-1.565,0.067
9/29/1978,-0.918,0.73
10/31/1978,0.567,1.816
11/30/1978,1.794,2.575
12/29/1978,2.073,2.871
1/31/1979,3.17,3.921
2/28/1979,3.547,4.451
3/30/1979,2.301,2.629
4/30/1979,2.34,2.394
5/31/1979,2.576,2.744
6/29/1979,3.589,3.195
7/31/1979,1.211,0.695
8/31/1979,1.004,0.451
9/28/1979,0.91,0.498
10/31/1979,0.89,0.695
11/30/1979,2.823,2.136
12/31/1979,2.716,2.295
1/31/1980,1.546,0.636
2/29/1980,1.198,0.488
3/31/1980,0.955,0.26
4/30/1980,-0.504,-1.346
5/30/1980,-0.86,-1.861
6/30/1980,-1.322,-2.296
7/31/1980,-2.376,-3.21
8/29/1980,-1.7,-2.34
9/30/1980,-2.263,-2.704
10/31/1980,-2.481,-3.078
11/28/1980,-3.203,-3.003
12/31/1980,-2.786,-2.395
1/30/1981,-2.413,-1.716
2/27/1981,-3.048,-1.892
3/31/1981,-3.558,-2.466
4/30/1981,-4.355,-3.137
5/29/1981,-3.829,-2.314
6/30/1981,-2.812,-1.37
7/31/1981,0.644,1.402
8/31/1981,0.33,1.378
9/30/1981,1.847,2.199
10/30/1981,2.456,2.804
11/30/1981,1.085,2.092
12/31/1981,1.745,2.427
1/29/1982,2.198,3.414
2/26/1982,2.011,3.341
3/31/1982,1.746,2.535
4/30/1982,2.671,3.482
5/28/1982,2.426,3.282
6/30/1982,2.731,3.51
7/30/1982,2.2,3.547
8/31/1982,1.223,2.513
9/30/1982,1.161,2.192
