DATE,5 YR,10 YR
1/31/1960,4.924871795,5.33
2/29/1960,4.964102564,5.4
3/31/1960,5.092564103,5.59
4/30/1960,5.146923077,5.67
5/31/1960,5.110512821,5.69
6/30/1960,5.855384615,6.04
7/31/1960,5.774102564,6.01
8/31/1960,5.804358974,6.03
9/30/1960,5.828205128,6.1
10/31/1960,5.582051282,6.1
11/30/1960,5.370769231,6.14
12/31/1960,5.236666667,6.17
1/31/1961,5.134615385,6.15
2/28/1961,5.179487179,6
3/31/1961,5.254871795,6.06
4/30/1961,5.199230769,6.03
5/31/1961,5.243846154,6.09
6/30/1961,5.416923077,6.34
7/31/1961,6.626666667,6.56
8/31/1961,6.695128205,6.69
9/30/1961,6.613333333,6.68
10/31/1961,5.915128205,6.11
11/30/1961,5.789487179,6.21
12/31/1961,5.814102564,6.25
1/31/1962,5.707692308,6.2
2/28/1962,5.890512821,6.27
3/30/1962,5.316153846,6.27
4/30/1962,5.136410256,6.28
5/31/1962,5.018461538,6.28
6/29/1962,5.025897436,6.19
7/31/1962,4.825384615,5.81
8/31/1962,4.661025641,5.62
9/28/1962,4.248974359,4.89
10/31/1962,4.43974359,5.05
11/30/1962,4.411025641,5.17
12/31/1962,4.411794872,5.14
1/31/1963,4.337692308,5.23
2/28/1963,4.404358974,5.43
3/29/1963,4.583333333,5.45
4/30/1963,4.47974359,5.29
5/31/1963,4.385384615,5.17
6/28/1963,4.372307692,5.08
7/31/1963,4.393333333,5.06
8/30/1963,4.324102564,4.96
9/30/1963,4.269230769,4.9
10/31/1963,4.339230769,4.97
11/29/1963,4.456153846,5.21
12/31/1963,4.460512821,5.24
1/31/1964,4.495641026,5.27
2/28/1964,4.865384615,5.45
3/31/1964,4.865128205,5.46
4/30/1964,4.87974359,5.49
5/28/1964,4.95,5.55
6/30/1964,5.034871795,5.64
7/31/1964,5.190769231,5.76
8/31/1964,5.191025641,5.75
9/30/1964,5.195641026,5.77
10/30/1964,5.255384615,5.84
11/30/1964,6.357179487,6.07
12/31/1964,6.508205128,6.38
1/29/1965,6.447435897,6.35
2/26/1965,6.401025641,6.36
3/31/1965,6.535384615,6.52
4/30/1965,6.487179487,6.6
5/28/1965,6.520769231,6.69
6/30/1965,6.11974359,6.73
7/30/1965,6.195128205,6.79
8/31/1965,6.105641026,6.68
9/30/1965,5.967435897,6.47
10/29/1965,5.922307692,6.43
11/30/1965,5.892051282,6.41
12/31/1965,6.041282051,6.59
1/31/1966,5.937948718,6.42
2/28/1966,6.073076923,6.55
3/31/1966,6.150512821,6.73
4/29/1966,6.156410256,6.7
5/31/1966,6.195897436,6.76
6/30/1966,6.348717949,7
7/29/1966,7.001538462,7.34
8/31/1966,7.10025641,7.49
9/30/1966,6.871794872,7
10/31/1966,6.70974359,6.92
11/30/1966,6.798461538,6.86
12/30/1966,6.578717949,6.63
1/31/1967,6.318717949,6.57
2/28/1967,6.215384615,6.4
3/31/1967,5.953076923,6.43
4/28/1967,5.877692308,6.37
5/31/1967,5.82,6.42
6/30/1967,5.942564103,6.64
7/31/1967,6.061282051,6.81
8/31/1967,5.981794872,6.71
9/29/1967,6.093846154,6.74
10/31/1967,6.3,6.9
11/30/1967,7.330769231,7.1
12/29/1967,7.397179487,7.31
1/31/1968,7.412820513,7.3
2/29/1968,7.321282051,7.27
3/29/1968,7.202564103,7.3
4/30/1968,7.172564103,7.27
5/31/1968,7.298461538,7.36
6/28/1968,7.42025641,7.61
7/31/1968,7.366923077,7.69
8/30/1968,7.242307692,7.55
9/30/1968,7.028205128,7.5
10/31/1968,6.991794872,7.52
11/29/1968,7.247948718,7.73
12/31/1968,7.379230769,8.01
1/31/1969,7.475384615,8.26
2/28/1969,8.046153846,8.4
3/28/1969,8.208717949,8.66
4/30/1969,8.214102564,8.65
5/29/1969,8.395641026,8.97
6/30/1969,8.566923077,9.29
7/31/1969,8.39025641,8.98
8/29/1969,8.389230769,9.02
9/30/1969,8.418974359,9.06
10/31/1969,8.275897436,8.84
11/28/1969,8.314871795,8.92
12/31/1969,8.263846154,8.91
1/30/1970,8.182307692,8.89
2/27/1970,8.121025641,8.68
3/31/1970,7.842564103,8.54
4/30/1970,7.637179487,8.55
5/29/1970,7.805128205,8.8
6/30/1970,7.824358974,8.85
7/31/1970,7.643589744,8.5
8/31/1970,7.555641026,8.33
9/30/1970,7.599230769,8.43
10/30/1970,7.594358974,8.42
11/30/1970,7.731025641,8.69
12/31/1970,7.847948718,8.93
1/29/1971,7.758974359,8.8
2/26/1971,7.631025641,8.59
