DATE,5 YR,5.25 YR
1/31/1962,2.308,2.3326
2/28/1962,2.439,2.45795
3/30/1962,1.564,1.61165
4/30/1962,0.948,1.0052
5/31/1962,0.677,0.7401
6/29/1962,0.611,0.6692
7/31/1962,0.708,0.7572
8/31/1962,0.673,0.72095
9/28/1962,0.36,0.39205
10/31/1962,1.022,1.0525
11/30/1962,1.021,1.05895
12/31/1962,0.907,0.9434
1/31/1963,0.677,0.7216
2/28/1963,0.29,0.3413
3/29/1963,0.604,0.64735
4/30/1963,0.626,0.66655
5/31/1963,0.719,0.75825
6/28/1963,1.159,1.1944
7/31/1963,1.479,1.5123
8/30/1963,2.049,2.0808
9/30/1963,1.756,1.78755
10/31/1963,1.717,1.74855
11/29/1963,2.214,2.2517
12/31/1963,2.208,2.24695
1/31/1964,2.173,2.2117
2/28/1964,2.545,2.5742
3/31/1964,2.554,2.5837
4/30/1964,2.84,2.8705
5/28/1964,2.629,2.659
6/30/1964,2.872,2.90225
7/31/1964,2.828,2.8565
8/31/1964,2.185,2.21295
9/30/1964,2.139,2.1677
10/30/1964,2.1,2.12925
11/30/1964,2.976,2.96165
12/31/1964,3.191,3.1846
1/29/1965,3.19,3.1851
2/26/1965,3.593,3.59095
3/31/1965,3.589,3.58825
4/30/1965,2.712,2.71765
5/28/1965,2.511,2.51945
6/30/1965,1.971,2.0015
7/30/1965,1.744,1.77375
8/31/1965,1.41,1.4387
9/30/1965,1.378,1.4031
10/29/1965,1.488,1.5134
11/30/1965,1.379,1.40485
12/31/1965,1.399,1.4264
1/31/1966,1.454,1.4781
2/28/1966,1.593,1.61685
3/31/1966,1.778,1.807
4/29/1966,1.595,1.6222
5/31/1966,1.717,1.7452
6/30/1966,1.93,1.9626
7/29/1966,2.806,2.82295
8/31/1966,2.787,2.8065
9/30/1966,2.647,2.65345
10/31/1966,2.4,2.41055
11/30/1966,2.612,2.6151
12/30/1966,2.495,2.4976
1/31/1967,2.29,2.3026
2/28/1967,2.143,2.15225
3/31/1967,2.07,2.09385
4/28/1967,2.584,2.6086
5/31/1967,2.753,2.783
6/30/1967,2.798,2.83285
7/31/1967,3.218,3.25545
8/31/1967,3.359,3.3954
9/29/1967,3.56,3.5923
10/31/1967,3.424,3.454
11/30/1967,4.381,4.3695
12/29/1967,4.333,4.32865
1/31/1968,4.269,4.26335
2/29/1968,3.968,3.96545
3/29/1968,3.771,3.77585
4/30/1968,3.449,3.45385
5/31/1968,3.889,3.8921
6/28/1968,3.937,3.9465
7/31/1968,3.621,3.63715
8/30/1968,3.724,3.73935
9/30/1968,3.38,3.4036
10/31/1968,3.23,3.2564
11/29/1968,3.671,3.6951
12/31/1968,3.198,3.22955
1/31/1969,3.099,3.1382
2/28/1969,3.431,3.4487
3/28/1969,3.392,3.41455
4/30/1969,3.234,3.25575
5/29/1969,3.451,3.4797
6/30/1969,3.603,3.63915
7/31/1969,3.118,3.1475
8/29/1969,3.104,3.13555
9/30/1969,2.93,2.96205
10/31/1969,2.787,2.81525
11/28/1969,3.015,3.04525
12/31/1969,2.959,2.9913
1/30/1970,2.621,2.6564
2/27/1970,2.548,2.57595
3/31/1970,2.133,2.16785
4/30/1970,2.063,2.10865
5/29/1970,2.122,2.17175
6/30/1970,2.201,2.2523
7/31/1970,1.686,1.7288
8/31/1970,1.72,1.7587
9/30/1970,1.543,1.5845
10/30/1970,1.23,1.2713
11/30/1970,1.122,1.16995
12/31/1970,1.58,1.6341
1/29/1971,1.051,1.10305
2/26/1971,0.922,0.96995
3/31/1971,0.523,0.5671
4/30/1971,-0.589,-0.5241
5/28/1971,-1.108,-1.0449
6/30/1971,-1.244,-1.17865
7/30/1971,-1.784,-1.72885
8/31/1971,-1.824,-1.7758
9/30/1971,-2.38,-2.31025
10/29/1971,-2.494,-2.42525
11/30/1971,-2.919,-2.84795
12/31/1971,-2.744,-2.67525
1/31/1972,-2.669,-2.6003
2/29/1972,-2.647,-2.57805
3/30/1972,-2.359,-2.28005
4/28/1972,-2.037,-1.9557
5/31/1972,-1.933,-1.842
6/30/1972,-0.92,-0.8351
7/31/1972,-0.662,-0.5815
8/31/1972,-1.018,-0.93545
9/29/1972,-0.516,-0.4478
10/31/1972,-0.648,-0.59135
11/30/1972,-0.447,-0.3916
12/29/1972,0.48,0.5069
1/31/1973,0.687,0.7137
2/28/1973,0.677,0.70955
3/30/1973,0.959,1.00615
4/30/1973,0.891,0.94205
5/31/1973,0.647,0.7121
6/29/1973,0.706,0.78085
7/31/1973,3.062,3.0502
8/31/1973,3.373,3.3794
9/28/1973,3.077,3.09085
10/31/1973,2.095,2.1109
11/30/1973,3.295,3.28555
12/31/1973,3.422,3.42765
1/31/1974,2.671,2.6959
2/28/1974,2.136,2.17805
3/29/1974,1.928,1.9672
4/30/1974,0.472,0.532
5/31/1974,-0.417,-0.36265
6/28/1974,-0.361,-0.2951
7/31/1974,-0.557,-0.4806
8/30/1974,0.039,0.1228
9/30/1974,-0.578,-0.4962
10/31/1974,-0.744,-0.6486
11/29/1974,-0.932,-0.80945
12/31/1974,-1.19,-1.0533
1/31/1975,-3.26,-3.1368
2/28/1975,-4.95,-4.85875
3/31/1975,-6.488,-6.4144
4/30/1975,-7.588,-7.50645
5/30/1975,-9.155,-9.06105
6/30/1975,-10.046,-9.9561
7/31/1975,-10.025,-9.96545
8/29/1975,-10.22,-10.15875
9/30/1975,-10.156,-10.09765
10/31/1975,-8.983,-8.92915
11/28/1975,-9.39,-9.3215
