DATE,5 YR,10 YR
1/31/1921,-2.352007331,-2.218673998
2/28/1921,-1.651469749,-1.554033851
3/31/1921,-0.740641246,-0.673974579
4/30/1921,0.751962275,0.782731506
5/31/1921,2.490502341,2.490502341
6/30/1921,2.745903887,2.710006451
7/31/1921,3.908281824,3.841615157
8/31/1921,4.732564103,4.63
9/30/1921,5.544739096,5.406277558
10/31/1921,6.340657672,6.171426903
11/30/1921,7.653658813,7.448530608
12/31/1921,8.932290033,8.696392597
1/31/1922,10.29831138,10.7239524
2/28/1922,10.78429714,11.21506637
3/31/1922,11.80775114,12.23852037
4/30/1922,13.18349074,13.61938818
5/31/1922,13.84635428,14.28225171
6/30/1922,14.49976571,14.94079136
7/31/1922,14.01727093,14.45829657
8/31/1922,13.46520079,13.91135464
9/30/1922,12.78951036,13.23566421
10/31/1922,12.29107744,12.74235949
11/30/1922,11.78548065,12.23676271
12/31/1922,10.56902912,11.02543938
1/31/1923,10.10701798,10.3275308
2/28/1923,8.576434999,8.786691409
3/31/1923,8.301100689,8.495972484
4/30/1923,7.477145603,7.661760988
5/31/1923,6.37678559,6.54601636
6/30/1923,5.800351503,5.959325862
7/31/1923,5.488957843,5.632547587
8/31/1923,5.766194345,5.899527679
9/30/1923,4.902899437,5.020848155
10/31/1923,4.605378313,4.713070621
11/30/1923,4.305462688,4.397770381
12/31/1923,4.007948718,4.09
1/31/1924,2.221950477,2.883488939
2/29/1924,2.505048344,3.156330395
3/31/1924,2.19332803,2.839481877
4/30/1924,2.479896989,3.115794425
5/31/1924,2.4701534,3.095794425
6/30/1924,2.465281605,3.085794425
7/31/1924,2.46083722,3.07109363
8/31/1924,2.14235252,2.74235252
9/30/1924,1.840277009,2.435148804
10/31/1924,1.839419095,2.42403448
11/30/1924,2.132167879,2.706526853
12/31/1924,2.134258169,2.703488939
1/31/1925,1.957174112,2.382815137
2/28/1925,2.246014032,2.666526853
3/31/1925,1.942558727,2.352815137
4/30/1925,2.53120219,2.936330395
5/31/1925,2.228617144,2.623488939
6/30/1925,1.940325171,2.330068761
