DATE,5 YR,10 YR
1/31/1921,4.9567,5.09
2/28/1921,4.9226,5.02
3/31/1921,4.8933,4.96
4/30/1921,4.8592,4.89
5/31/1921,4.83,4.83
6/30/1921,4.7959,4.76
7/31/1921,4.7667,4.7
8/31/1921,4.7326,4.63
9/30/1921,4.6985,4.56
10/31/1921,4.6692,4.5
11/30/1921,4.6351,4.43
12/31/1921,4.6059,4.37
1/31/1922,3.8744,4.3
2/28/1922,3.8792,4.31
3/31/1922,3.8792,4.31
4/30/1922,3.8841,4.32
5/31/1922,3.8841,4.32
6/30/1922,3.889,4.33
7/31/1922,3.889,4.33
8/31/1922,3.8938,4.34
9/30/1922,3.8938,4.34
10/31/1922,3.8987,4.35
11/30/1922,3.8987,4.35
12/31/1922,3.9036,4.36
1/31/1923,4.1395,4.36
2/28/1923,4.1297,4.34
3/31/1923,4.1151,4.31
4/30/1923,4.1054,4.29
5/31/1923,4.0908,4.26
6/30/1923,4.081,4.24
7/31/1923,4.0664,4.21
8/31/1923,4.0567,4.19
9/30/1923,4.0421,4.16
10/31/1923,4.0323,4.14
11/30/1923,4.0177,4.11
12/31/1923,4.0079,4.09
1/31/1924,3.3985,4.06
2/29/1924,3.3887,4.04
3/31/1924,3.3838,4.03
4/30/1924,3.3741,4.01
5/31/1924,3.3644,3.99
6/30/1924,3.3595,3.98
7/31/1924,3.3497,3.96
8/31/1924,3.34,3.94
9/30/1924,3.3351,3.93
10/31/1924,3.3254,3.91
11/30/1924,3.3156,3.89
12/31/1924,3.3108,3.88
1/31/1925,3.4344,3.86
2/28/1925,3.4295,3.85
3/31/1925,3.4197,3.83
4/30/1925,3.4149,3.82
5/31/1925,3.4051,3.8
6/30/1925,3.4003,3.79
7/31/1925,3.3905,3.77
8/31/1925,3.3856,3.76
9/30/1925,3.3759,3.74
10/31/1925,3.371,3.73
11/30/1925,3.3613,3.71
12/31/1925,3.3564,3.7
1/31/1926,3.4492,3.68
2/28/1926,3.4346,3.65
3/31/1926,3.42,3.62
4/30/1926,3.4103,3.6
5/31/1926,3.3956,3.57
6/30/1926,3.381,3.54
7/31/1926,3.3664,3.51
8/31/1926,3.3518,3.48
9/30/1926,3.3372,3.45
10/31/1926,3.3274,3.43
11/30/1926,3.3128,3.4
12/31/1926,3.2982,3.37
1/31/1927,3.2169,3.34
2/28/1927,3.2169,3.34
3/31/1927,3.2169,3.34
4/30/1927,3.2169,3.34
5/31/1927,3.2169,3.34
6/30/1927,3.2169,3.34
7/31/1927,3.2169,3.34
8/31/1927,3.2121,3.33
9/30/1927,3.2121,3.33
10/31/1927,3.2121,3.33
11/30/1927,3.2121,3.33
12/31/1927,3.2121,3.33
1/31/1928,3.6582,3.33
2/29/1928,3.6679,3.35
3/31/1928,3.6826,3.38
4/30/1928,3.6923,3.4
5/31/1928,3.7021,3.42
6/30/1928,3.7118,3.44
7/31/1928,3.7264,3.47
8/31/1928,3.7362,3.49
9/30/1928,3.7459,3.51
10/31/1928,3.7556,3.53
11/30/1928,3.7703,3.56
12/31/1928,3.78,3.58
1/31/1929,4.0205,3.6
2/28/1929,4.0059,3.57
3/31/1929,3.9962,3.55
4/30/1929,3.9815,3.52
5/31/1929,3.9718,3.5
6/30/1929,3.9572,3.47
7/31/1929,3.9474,3.45
8/31/1929,3.9328,3.42
9/30/1929,3.9182,3.39
10/31/1929,3.9085,3.37
11/30/1929,3.8938,3.34
12/31/1929,3.8841,3.32
1/31/1930,2.7464,3.29
2/28/1930,2.7464,3.29
3/31/1930,2.7513,3.3
4/30/1930,2.7513,3.3
5/31/1930,2.7562,3.31
6/30/1930,2.7562,3.31
7/31/1930,2.761,3.32
8/31/1930,2.761,3.32
9/30/1930,2.761,3.32
10/31/1930,2.7659,3.33
11/30/1930,2.7659,3.33
12/31/1930,2.7708,3.34
1/31/1931,2.3451,3.34
2/28/1931,2.3597,3.37
3/31/1931,2.3744,3.4
4/30/1931,2.389,3.43
5/31/1931,2.3987,3.45
6/30/1931,2.4133,3.48
7/31/1931,2.4279,3.51
8/31/1931,2.4426,3.54
9/30/1931,2.4572,3.57
10/31/1931,2.4718,3.6
11/30/1931,2.4815,3.62
12/31/1931,2.4962,3.65
1/31/1932,2.2441,3.68
2/29/1932,2.2295,3.65
3/31/1932,2.2149,3.62
4/30/1932,2.2003,3.59
5/31/1932,2.1856,3.56
6/30/1932,2.171,3.53
7/31/1932,2.1564,3.5
8/31/1932,2.1369,3.46
9/30/1932,2.1223,3.43
10/31/1932,2.1077,3.4
11/30/1932,2.0931,3.37
12/31/1932,2.0785,3.34
1/31/1933,1.8792,3.31
2/28/1933,1.8695,3.29
3/31/1933,1.8646,3.28
4/30/1933,1.8549,3.26
5/31/1933,1.85,3.25
6/30/1933,1.8403,3.23
7/31/1933,1.8354,3.22
8/31/1933,1.8256,3.2
9/30/1933,1.8159,3.18
10/31/1933,1.811,3.17
11/30/1933,1.8013,3.15
12/31/1933,1.7964,3.14
1/31/1934,1.6533,3.12
2/28/1934,1.6387,3.09
3/31/1934,1.629,3.07
4/30/1934,1.6144,3.04
5/31/1934,1.5997,3.01
6/30/1934,1.5851,2.98
7/31/1934,1.5754,2.96
8/31/1934,1.5608,2.93
9/30/1934,1.5462,2.9
10/31/1934,1.5315,2.87
11/30/1934,1.5218,2.85
12/31/1934,1.5072,2.82
1/31/1935,1.431,2.79
2/28/1935,1.4262,2.78
3/31/1935,1.4213,2.77
4/30/1935,1.4164,2.76
5/31/1935,1.4067,2.74
6/30/1935,1.4018,2.73
7/31/1935,1.3969,2.72
8/31/1935,1.3921,2.71
9/30/1935,1.3872,2.7
10/31/1935,1.3823,2.69
11/30/1935,1.3726,2.67
12/31/1935,1.3677,2.66
1/31/1936,1.3628,2.65
2/29/1936,1.3628,2.65
3/31/1936,1.3677,2.66
4/30/1936,1.3677,2.66
5/31/1936,1.3677,2.66
6/30/1936,1.3677,2.66
7/31/1936,1.3726,2.67
8/31/1936,1.3726,2.67
9/30/1936,1.3726,2.67
10/31/1936,1.3726,2.67
11/30/1936,1.3774,2.68
12/31/1936,1.3774,2.68
1/31/1937,1.5364,2.68
2/28/1937,1.5315,2.67
3/31/1937,1.5267,2.66
4/30/1937,1.5218,2.65
5/31/1937,1.5169,2.64
6/30/1937,1.5121,2.63
7/31/1937,1.5072,2.62
8/31/1937,1.5023,2.61
9/30/1937,1.4974,2.6
10/31/1937,1.4926,2.59
11/30/1937,1.4877,2.58
12/31/1937,1.4828,2.57
1/31/1938,1.2728,2.56
2/28/1938,1.2631,2.54
3/31/1938,1.2582,2.53
4/30/1938,1.2485,2.51
5/31/1938,1.2387,2.49
6/30/1938,1.2338,2.48
7/31/1938,1.2241,2.46
8/31/1938,1.2144,2.44
