DATE,5 YR,5.25 YR
1/31/1921,4.9567,4.963365
2/28/1921,4.9226,4.92747
3/31/1921,4.8933,4.896635
4/30/1921,4.8592,4.86074
5/31/1921,4.83,4.83
6/30/1921,4.7959,4.794105
7/31/1921,4.7667,4.763365
8/31/1921,4.7326,4.72747
9/30/1921,4.6985,4.691575
10/31/1921,4.6692,4.66074
11/30/1921,4.6351,4.624845
12/31/1921,4.6059,4.594105
1/31/1922,3.8744,3.89568
2/28/1922,3.8792,3.90074
3/31/1922,3.8792,3.90074
4/30/1922,3.8841,3.905895
5/31/1922,3.8841,3.905895
6/30/1922,3.889,3.91105
7/31/1922,3.889,3.91105
8/31/1922,3.8938,3.91611
9/30/1922,3.8938,3.91611
10/31/1922,3.8987,3.921265
11/30/1922,3.8987,3.921265
12/31/1922,3.9036,3.92642
1/31/1923,4.1395,4.150525
2/28/1923,4.1297,4.140215
3/31/1923,4.1151,4.124845
4/30/1923,4.1054,4.11463
5/31/1923,4.0908,4.09926
6/30/1923,4.081,4.08895
7/31/1923,4.0664,4.07358
8/31/1923,4.0567,4.063365
9/30/1923,4.0421,4.047995
10/31/1923,4.0323,4.037685
11/30/1923,4.0177,4.022315
12/31/1923,4.0079,4.012005
1/31/1924,3.3985,3.431575
2/29/1924,3.3887,3.421265
3/31/1924,3.3838,3.41611
4/30/1924,3.3741,3.405895
5/31/1924,3.3644,3.39568
6/30/1924,3.3595,3.390525
7/31/1924,3.3497,3.380215
8/31/1924,3.34,3.37
9/30/1924,3.3351,3.364845
10/31/1924,3.3254,3.35463
11/30/1924,3.3156,3.34432
12/31/1924,3.3108,3.33926
1/31/1925,3.4344,3.45568
2/28/1925,3.4295,3.450525
3/31/1925,3.4197,3.440215
4/30/1925,3.4149,3.435155
5/31/1925,3.4051,3.424845
6/30/1925,3.4003,3.419785
7/31/1925,3.3905,3.409475
8/31/1925,3.3856,3.40432
9/30/1925,3.3759,3.394105
10/31/1925,3.371,3.38895
11/30/1925,3.3613,3.378735
12/31/1925,3.3564,3.37358
1/31/1926,3.4492,3.46074
2/28/1926,3.4346,3.44537
3/31/1926,3.42,3.43
4/30/1926,3.4103,3.419785
5/31/1926,3.3956,3.40432
6/30/1926,3.381,3.38895
7/31/1926,3.3664,3.37358
8/31/1926,3.3518,3.35821
9/30/1926,3.3372,3.34284
10/31/1926,3.3274,3.33253
11/30/1926,3.3128,3.31716
12/31/1926,3.2982,3.30179
1/31/1927,3.2169,3.223055
2/28/1927,3.2169,3.223055
3/31/1927,3.2169,3.223055
4/30/1927,3.2169,3.223055
5/31/1927,3.2169,3.223055
6/30/1927,3.2169,3.223055
7/31/1927,3.2169,3.223055
8/31/1927,3.2121,3.217995
9/30/1927,3.2121,3.217995
10/31/1927,3.2121,3.217995
11/30/1927,3.2121,3.217995
12/31/1927,3.2121,3.217995
1/31/1928,3.6582,3.64179
2/29/1928,3.6679,3.652005
3/31/1928,3.6826,3.66747
4/30/1928,3.6923,3.677685
5/31/1928,3.7021,3.687995
6/30/1928,3.7118,3.69821
7/31/1928,3.7264,3.71358
8/31/1928,3.7362,3.72389
9/30/1928,3.7459,3.734105
10/31/1928,3.7556,3.74432
11/30/1928,3.7703,3.759785
12/31/1928,3.78,3.77
1/31/1929,4.0205,3.999475
2/28/1929,4.0059,3.984105
3/31/1929,3.9962,3.97389
4/30/1929,3.9815,3.958425
5/31/1929,3.9718,3.94821
6/30/1929,3.9572,3.93284
7/31/1929,3.9474,3.92253
8/31/1929,3.9328,3.90716
9/30/1929,3.9182,3.89179
10/31/1929,3.9085,3.881575
11/30/1929,3.8938,3.86611
12/31/1929,3.8841,3.855895
1/31/1930,2.7464,2.77358
2/28/1930,2.7464,2.77358
3/31/1930,2.7513,2.778735
4/30/1930,2.7513,2.778735
5/31/1930,2.7562,2.78389
6/30/1930,2.7562,2.78389
7/31/1930,2.761,2.78895
8/31/1930,2.761,2.78895
9/30/1930,2.761,2.78895
10/31/1930,2.7659,2.794105
11/30/1930,2.7659,2.794105
12/31/1930,2.7708,2.79926
1/31/1931,2.3451,2.394845
2/28/1931,2.3597,2.410215
3/31/1931,2.3744,2.42568
4/30/1931,2.389,2.44105
5/31/1931,2.3987,2.451265
6/30/1931,2.4133,2.466635
7/31/1931,2.4279,2.482005
8/31/1931,2.4426,2.49747
9/30/1931,2.4572,2.51284
10/31/1931,2.4718,2.52821
11/30/1931,2.4815,2.538425
12/31/1931,2.4962,2.55389
1/31/1932,2.2441,2.315895
2/29/1932,2.2295,2.300525
3/31/1932,2.2149,2.285155
4/30/1932,2.2003,2.269785
5/31/1932,2.1856,2.25432
6/30/1932,2.171,2.23895
7/31/1932,2.1564,2.22358
8/31/1932,2.1369,2.203055
9/30/1932,2.1223,2.187685
10/31/1932,2.1077,2.172315
11/30/1932,2.0931,2.156945
12/31/1932,2.0785,2.141575
1/31/1933,1.8792,1.95074
2/28/1933,1.8695,1.940525
3/31/1933,1.8646,1.93537
4/30/1933,1.8549,1.925155
5/31/1933,1.85,1.92
6/30/1933,1.8403,1.909785
7/31/1933,1.8354,1.90463
8/31/1933,1.8256,1.89432
9/30/1933,1.8159,1.884105
10/31/1933,1.811,1.87895
11/30/1933,1.8013,1.868735
12/31/1933,1.7964,1.86358
1/31/1934,1.6533,1.726635
2/28/1934,1.6387,1.711265
3/31/1934,1.629,1.70105
4/30/1934,1.6144,1.68568
5/31/1934,1.5997,1.670215
6/30/1934,1.5851,1.654845
7/31/1934,1.5754,1.64463
8/31/1934,1.5608,1.62926
9/30/1934,1.5462,1.61389
10/31/1934,1.5315,1.598425
11/30/1934,1.5218,1.58821
12/31/1934,1.5072,1.57284
1/31/1935,1.431,1.49895
2/28/1935,1.4262,1.49389
3/31/1935,1.4213,1.488735
4/30/1935,1.4164,1.48358
5/31/1935,1.4067,1.473365
6/30/1935,1.4018,1.46821
7/31/1935,1.3969,1.463055
8/31/1935,1.3921,1.457995
9/30/1935,1.3872,1.45284
10/31/1935,1.3823,1.447685
11/30/1935,1.3726,1.43747
12/31/1935,1.3677,1.432315
1/31/1936,1.3628,1.42716
2/29/1936,1.3628,1.42716
3/31/1936,1.3677,1.432315
4/30/1936,1.3677,1.432315
5/31/1936,1.3677,1.432315
6/30/1936,1.3677,1.432315
7/31/1936,1.3726,1.43747
8/31/1936,1.3726,1.43747
9/30/1936,1.3726,1.43747
10/31/1936,1.3726,1.43747
11/30/1936,1.3774,1.44253
12/31/1936,1.3774,1.44253
1/31/1937,1.5364,1.59358
2/28/1937,1.5315,1.588425
3/31/1937,1.5267,1.583365
4/30/1937,1.5218,1.57821
5/31/1937,1.5169,1.573055
6/30/1937,1.5121,1.567995
7/31/1937,1.5072,1.56284
8/31/1937,1.5023,1.557685
9/30/1937,1.4974,1.55253
10/31/1937,1.4926,1.54747
11/30/1937,1.4877,1.542315
12/31/1937,1.4828,1.53716
1/31/1938,1.2728,1.33716
2/28/1938,1.2631,1.326945
3/31/1938,1.2582,1.32179
4/30/1938,1.2485,1.311575
5/31/1938,1.2387,1.301265
6/30/1938,1.2338,1.29611
7/31/1938,1.2241,1.285895
8/31/1938,1.2144,1.27568
9/30/1938,1.2095,1.270525
10/31/1938,1.1997,1.260215
11/30/1938,1.19,1.25
12/31/1938,1.1851,1.244845
1/31/1939,1.16,1.22
2/28/1939,1.1551,1.214845
3/31/1939,1.1503,1.209785
4/30/1939,1.1405,1.199475
5/31/1939,1.1356,1.19432
6/30/1939,1.1308,1.18926
7/31/1939,1.1259,1.184105
8/31/1939,1.1162,1.17389
9/30/1939,1.1113,1.168735
10/31/1939,1.1064,1.16358
11/30/1939,1.1015,1.158425
12/31/1939,1.0918,1.14821
1/31/1940,1.0818,1.13821
2/29/1940,1.0721,1.127995
3/31/1940,1.0623,1.117685
4/30/1940,1.0526,1.10747
5/31/1940,1.0379,1.092005
6/30/1940,1.0282,1.08179
7/31/1940,1.0185,1.071575
8/31/1940,1.0087,1.061265
9/30/1940,0.999,1.05105
10/31/1940,0.9892,1.04074
11/30/1940,0.9746,1.02537
12/31/1940,0.9649,1.015155
1/31/1941,1.0013,1.048735
2/28/1941,1.0208,1.06926
3/31/1941,1.0451,1.094845
4/30/1941,1.0646,1.11537
5/31/1941,1.0841,1.135895
6/30/1941,1.1036,1.15642
7/31/1941,1.1279,1.182005
8/31/1941,1.1474,1.20253
9/30/1941,1.1669,1.223055
10/31/1941,1.1864,1.24358
11/30/1941,1.2108,1.26926
12/31/1941,1.2303,1.289785
1/31/1942,1.3677,1.422315
2/28/1942,1.3677,1.422315
3/31/1942,1.3677,1.422315
4/30/1942,1.3677,1.422315
5/31/1942,1.3677,1.422315
6/30/1942,1.3677,1.422315
7/31/1942,1.3726,1.42747
8/31/1942,1.3726,1.42747
9/30/1942,1.3726,1.42747
10/31/1942,1.3726,1.42747
11/30/1942,1.3726,1.42747
12/31/1942,1.3726,1.42747
1/31/1943,1.3931,1.446945
2/28/1943,1.3931,1.446945
3/31/1943,1.3931,1.446945
4/30/1943,1.3931,1.446945
5/31/1943,1.3931,1.446945
6/30/1943,1.3931,1.446945
7/31/1943,1.3979,1.452005
8/31/1943,1.3979,1.452005
9/30/1943,1.3979,1.452005
10/31/1943,1.3979,1.452005
11/30/1943,1.3979,1.452005
12/31/1943,1.3979,1.452005
1/31/1944,1.4031,1.456945
2/29/1944,1.3982,1.45179
3/31/1944,1.3933,1.446635
4/30/1944,1.3885,1.441575
5/31/1944,1.3836,1.43642
6/30/1944,1.3787,1.431265
7/31/1944,1.3787,1.431265
8/31/1944,1.3738,1.42611
9/30/1944,1.369,1.42105
10/31/1944,1.3641,1.415895
11/30/1944,1.3592,1.41074
12/31/1944,1.3544,1.40568
1/31/1945,1.3495,1.400525
2/28/1945,1.3446,1.39537
3/31/1945,1.3349,1.385155
4/30/1945,1.33,1.38
5/31/1945,1.3203,1.369785
6/30/1945,1.3154,1.36463
7/31/1945,1.3056,1.35432
8/31/1945,1.3008,1.34926
9/30/1945,1.291,1.33895
10/31/1945,1.2862,1.33389
11/30/1945,1.2764,1.32358
12/31/1945,1.2715,1.318425
1/31/1946,1.2618,1.30821
2/28/1946,1.2667,1.313365
3/31/1946,1.2667,1.313365
4/30/1946,1.2715,1.318425
5/31/1946,1.2715,1.318425
6/30/1946,1.2764,1.32358
7/31/1946,1.2764,1.32358
8/31/1946,1.2813,1.328735
9/30/1946,1.2813,1.328735
10/31/1946,1.2862,1.33389
11/30/1946,1.2862,1.33389
12/31/1946,1.291,1.33895
1/31/1947,1.3987,1.441265
2/28/1947,1.4085,1.451575
3/31/1947,1.4133,1.456635
4/30/1947,1.4231,1.466945
5/31/1947,1.4279,1.472005
6/30/1947,1.4377,1.482315
7/31/1947,1.4474,1.49253
8/31/1947,1.4523,1.497685
9/30/1947,1.4621,1.507995
10/31/1947,1.4669,1.513055
11/30/1947,1.4767,1.523365
12/31/1947,1.4815,1.528425
1/31/1948,1.7221,1.757995
2/29/1948,1.7172,1.75284
3/31/1948,1.7123,1.747685
4/30/1948,1.7074,1.74253
5/31/1948,1.7026,1.73747
6/30/1948,1.6977,1.732315
7/31/1948,1.6928,1.72716
8/31/1948,1.6831,1.716945
9/30/1948,1.6782,1.71179
10/31/1948,1.6733,1.706635
11/30/1948,1.6685,1.701575
12/31/1948,1.6636,1.69642
1/31/1949,1.6895,1.720525
2/28/1949,1.6895,1.720525
3/31/1949,1.6895,1.720525
4/30/1949,1.6895,1.720525
5/31/1949,1.6895,1.720525
6/30/1949,1.6895,1.720525
7/31/1949,1.6944,1.72568
8/31/1949,1.6944,1.72568
9/30/1949,1.6944,1.72568
10/31/1949,1.6944,1.72568
11/30/1949,1.6944,1.72568
12/31/1949,1.6944,1.72568
1/31/1950,1.7559,1.784105
2/28/1950,1.7656,1.79432
3/31/1950,1.7754,1.80463
4/30/1950,1.7851,1.814845
5/31/1950,1.7949,1.825155
6/30/1950,1.8046,1.83537
7/31/1950,1.8192,1.85074
8/31/1950,1.829,1.86105
9/30/1950,1.8387,1.871265
10/31/1950,1.8485,1.881575
11/30/1950,1.8582,1.89179
12/31/1950,1.8679,1.902005
1/31/1951,2.0469,2.073055
2/28/1951,2.0518,2.07821
3/31/1951,2.0567,2.083365
4/30/1951,2.0615,2.088425
5/31/1951,2.0664,2.09358
6/30/1951,2.0713,2.098735
