,3 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/31/1962,,3.2900,,3.8100,3.9900,,4.1000,4.1300,
2/28/1962,,3.2100,,3.5300,3.7700,,4.0000,4.1000,
3/30/1962,,2.9700,,3.3900,3.6100,,3.8600,3.9800,
4/30/1962,,3.0700,,3.4700,3.6400,,3.8600,3.9100,
5/31/1962,,2.9900,,3.3600,3.6600,,3.9000,3.9400,
6/29/1962,,3.2000,,3.5600,3.7600,,4.0000,4.0200,
7/31/1962,,3.3300,,3.6200,3.8200,,4.0400,4.0600,
8/31/1962,,3.1400,,3.4200,3.6600,,3.9600,3.9900,
9/28/1962,,3.0200,,3.3500,3.6600,,3.9400,3.9700,
10/31/1962,,2.9700,,3.3600,3.6400,,3.9200,3.9400,
11/30/1962,,3.0200,,3.4100,3.5900,,3.9200,3.9400,
12/31/1962,,3.0500,,3.4000,3.5600,,3.8500,3.9200,
1/31/1963,,3.0300,,3.4100,3.6500,,3.8700,3.9600,
2/28/1963,,3.0200,,3.4200,3.6800,,3.9400,3.9700,
3/29/1963,,3.0900,,3.4400,3.7100,,3.9500,4.0000,
4/30/1963,,3.1100,,3.5400,3.7300,,3.9500,4.0400,
5/31/1963,,3.2000,,3.5900,3.7800,,3.9600,4.0300,
6/28/1963,,3.1900,,3.6100,3.8200,,4.0000,4.0300,
7/31/1963,,3.5000,,3.7700,3.8800,,4.0000,4.0300,
8/30/1963,,3.5900,,3.8100,3.9300,,4.0200,4.0400,
9/30/1963,,3.5900,,3.8200,3.9400,,4.0700,4.0800,
10/31/1963,,3.6800,,3.9200,4.0100,,4.1500,4.1500,
11/29/1963,,3.7400,,3.9400,3.9900,,4.0800,4.1500,
12/31/1963,,3.8300,,4.0500,4.0600,,4.1400,4.1900,
1/31/1964,,3.7600,,4.0000,4.0300,,4.1500,4.1800,
2/28/1964,,3.9100,,4.0700,4.1000,,4.1800,4.1900,
3/31/1964,,3.9400,,4.1600,4.1600,,4.2300,4.2400,
4/30/1964,,3.8400,,4.1000,4.1300,,4.2200,4.2400,
5/28/1964,,3.8400,,4.0300,4.0300,,4.1900,4.1800,
6/30/1964,,3.7800,,3.9500,4.0100,,4.1500,4.1500,
7/31/1964,,3.6900,,3.9200,4.0400,,4.1900,4.1700,
8/31/1964,,3.8100,,3.9600,4.0700,,4.2100,4.2000,
9/30/1964,,3.8400,,4.0100,4.0500,,4.1800,4.1900,
10/30/1964,,3.8600,,4.0100,4.0500,,4.1600,4.1700,
11/30/1964,,4.1000,,4.1600,4.1300,,4.2000,4.2000,
12/31/1964,,3.9900,,4.0600,4.1200,,4.2100,4.2100,
1/29/1965,,3.9600,,4.0400,4.1100,,4.1900,4.1900,
2/26/1965,,4.0900,,4.1200,4.1600,,4.2200,4.2100,
3/31/1965,,4.0300,,4.1100,4.1400,,4.2000,4.2000,
4/30/1965,,4.0400,,4.1200,4.1600,,4.2100,4.2100,
5/28/1965,,4.0400,,4.1000,4.1500,,4.2300,4.2200,
6/30/1965,,3.9600,,4.0600,4.1400,,4.2000,4.2000,
7/30/1965,,4.0200,,4.1100,4.1800,,4.2200,4.2200,
8/31/1965,,4.1300,,4.2100,4.2200,,4.2700,4.2800,
9/30/1965,,4.3600,,4.3300,4.3300,,4.3500,4.3400,
10/29/1965,,4.3300,,4.3800,4.4000,,4.4100,4.3600,
11/30/1965,,4.4000,,4.4900,4.4700,,4.4800,4.4100,
12/31/1965,,4.9600,,5.0000,4.8800,,4.6500,4.5200,
1/31/1966,,4.8900,,4.9800,4.9800,,4.6900,4.5900,
2/28/1966,,5.0100,,5.0600,5.0300,,5.0200,4.8100,
3/31/1966,,4.9000,,4.8900,4.8400,,4.7100,4.6100,
4/29/1966,,4.9100,,4.9700,4.8500,,4.7900,4.7000,
5/31/1966,,5.0400,,5.1000,5.0000,,4.8000,4.7300,
6/30/1966,,5.0500,,5.2200,5.0900,,4.9700,4.8200,
7/29/1966,,5.2400,,5.3200,5.2600,,5.0500,4.8600,
8/31/1966,,5.8400,,5.8700,5.6800,,5.3600,5.0200,
9/30/1966,,5.6200,,5.5400,5.3400,,5.0200,4.8900,
10/31/1966,,5.5000,,5.3800,5.2200,,4.9700,4.7600,
11/30/1966,,5.4500,,5.4800,5.2800,,5.1200,4.8700,
12/30/1966,,5.0000,,4.9400,4.8000,,4.6400,4.5800,
1/31/1967,,4.6200,,4.6300,4.6700,,4.5200,4.4800,
2/28/1967,,4.7600,,4.7900,4.7800,,4.7200,4.7000,
3/31/1967,,4.1300,,4.3000,4.4200,,4.5000,4.5600,
4/28/1967,,4.1400,,4.5700,4.7200,,4.7800,4.8100,
5/31/1967,,4.1800,,4.5800,4.7200,,4.8100,4.8500,
6/30/1967,,4.9700,,5.1000,5.3500,,5.2200,5.0800,
7/31/1967,,5.0500,,5.0200,5.1200,,5.1600,5.0600,
8/31/1967,,5.2000,,5.3600,5.3400,,5.2700,5.1400,
9/29/1967,,5.2700,,5.3900,5.3800,,5.3100,5.1900,
10/31/1967,,5.4700,,5.6300,5.7200,,5.6400,5.5200,
11/30/1967,,5.6500,,5.6900,5.7700,,5.7400,5.6500,
12/29/1967,,5.7600,,5.8000,5.7800,,5.7000,5.5600,
1/31/1968,,5.3600,,5.5200,5.5500,,5.5400,5.3700,
2/29/1968,,5.4300,,5.6500,5.5700,,5.5600,5.4000,
3/29/1968,,5.5900,,5.7900,5.7600,,5.7600,5.6200,
4/30/1968,,6.0000,,6.0000,5.9600,,5.7400,5.5000,
