31-Jan-26,3.95%
28-Feb-26,2.66%
31-Mar-26,-0.28%
30-Apr-26,1.63%
31-May-26,-0.75%
30-Jun-26,2.17%
31-Jul-26,1.84%
31-Aug-26,5.70%
30-Sep-26,2.14%
31-Oct-26,2.90%
30-Nov-26,4.02%
31-Dec-26,2.04%
31-Jan-27,8.73%
28-Feb-27,3.97%
31-Mar-27,0.31%
30-Apr-27,4.33%
31-May-27,-2.10%
30-Jun-27,-4.18%
31-Jul-27,2.25%
31-Aug-27,0.09%
30-Sep-27,0.31%
31-Oct-27,0.84%
30-Nov-27,-3.29%
31-Dec-27,5.12%
31-Jan-28,4.41%
29-Feb-28,-0.86%
31-Mar-28,3.19%
30-Apr-28,5.88%
31-May-28,2.68%
30-Jun-28,-0.79%
31-Jul-28,-2.58%
31-Aug-28,3.51%
30-Sep-28,1.70%
31-Oct-28,0.12%
30-Nov-28,1.84%
31-Dec-28,1.47%
31-Jan-29,4.59%
28-Feb-29,-0.13%
31-Mar-29,-0.95%
30-Apr-29,-1.68%
31-May-29,-1.54%
30-Jun-29,-0.33%
31-Jul-29,1.09%
31-Aug-29,0.60%
30-Sep-29,1.10%
31-Oct-29,-3.75%
30-Nov-29,-4.40%
31-Dec-29,-1.16%
31-Jan-30,3.05%
28-Feb-30,-0.80%
31-Mar-30,-0.92%
30-Apr-30,1.55%
31-May-30,-2.39%
30-Jun-30,-4.49%
31-Jul-30,-0.95%
31-Aug-30,-4.01%
30-Sep-30,-0.39%
31-Oct-30,-4.26%
30-Nov-30,-2.86%
31-Dec-30,-5.02%
31-Jan-31,-0.34%
28-Feb-31,2.13%
31-Mar-31,1.28%
30-Apr-31,-2.45%
31-May-31,-7.18%
30-Jun-31,-0.80%
31-Jul-31,-1.66%
31-Aug-31,-2.05%
30-Sep-31,-14.06%
31-Oct-31,-5.18%
30-Nov-31,-1.08%
31-Dec-31,-10.01%
31-Jan-32,7.07%
29-Feb-32,6.54%
31-Mar-32,-1.91%
30-Apr-32,-5.76%
31-May-32,-5.14%
30-Jun-32,-0.53%
31-Jul-32,2.23%
31-Aug-32,5.39%
30-Sep-32,5.48%
31-Oct-32,-3.24%
30-Nov-32,0.65%
31-Dec-32,4.02%
31-Jan-33,2.49%
28-Feb-33,-0.82%
31-Mar-33,1.30%
30-Apr-33,5.81%
31-May-33,16.14%
30-Jun-33,8.03%
31-Jul-33,14.57%
31-Aug-33,-1.47%
30-Sep-33,6.05%
31-Oct-33,-0.98%
30-Nov-33,10.36%
31-Dec-33,-0.70%
31-Jan-34,2.13%
28-Feb-34,4.57%
31-Mar-34,1.04%
30-Apr-34,0.69%
31-May-34,-0.04%
30-Jun-34,-1.08%
31-Jul-34,-0.62%
31-Aug-34,1.66%
30-Sep-34,1.23%
31-Oct-34,-0.32%
30-Nov-34,-1.27%
31-Dec-34,1.03%
31-Jan-35,3.95%
28-Feb-35,1.14%
31-Mar-35,-1.01%
30-Apr-35,1.11%
31-May-35,4.05%
30-Jun-35,1.96%
31-Jul-35,0.51%
31-Aug-35,0.82%
30-Sep-35,-3.03%
31-Oct-35,-1.11%
30-Nov-35,0.79%
31-Dec-35,1.94%
31-Jan-36,4.35%
29-Feb-36,4.04%
31-Mar-36,-1.62%
30-Apr-36,-0.10%
31-May-36,-1.10%
30-Jun-36,0.20%
31-Jul-36,-0.57%
31-Aug-36,0.43%
30-Sep-36,2.33%
31-Oct-36,-1.54%
30-Nov-36,2.09%
31-Dec-36,1.68%
31-Jan-37,4.92%
28-Feb-37,0.95%
31-Mar-37,-0.05%
30-Apr-37,-2.47%
31-May-37,-0.28%
30-Jun-37,0.71%
